index,id,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y
23,7.0,北魏,['北魏'],,[['北魏']],[{'LEV3': 'hvd_113680'}],['政权'],[],historic,POINT (113.29639 40.09284),"['河北省', '山东省']","['邯郸市', '青岛市']","['市北区', '魏县']",[],['北魏'],[],[],[],[386.0],[493.0],1.7187243981747862,0.9996594405769842,113.29639,40.09284
24,7.0,陂水,['陂水'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
25,7.0,楚国,['楚国'],,[['楚国']],[{'LEV2': 'hvd_33421'}],['侯国'],[],historic,POINT (117.18768 34.26963),[],[],[],[],['楚国'],['西汉'],[],[],[-154.0],[-70.0],8.999699889883232,0.9982167399234751,117.18768,34.26963
26,7.0,息县,['息县'],,[['息县']],[{'LEV1': 'hvd_617'}],['县'],[],historic,POINT (114.72909 32.34243),['河南省'],['信阳市'],['息县'],['息县'],['光州'],['河南'],[],[],[1820],[1820],3.9742886596587694,0.9992125081518194,114.72909,32.34243
27,7.0,汝水,['汝水'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
28,7.0,新息县,['新息县'],,"[['息县'], ['新息']]","[{'LEV1': 'hvd_617'}, {'LEV1': 'hvd_82584'}]","['县', '县']",['Multiple Matches'],historic,,['河南省'],['信阳市'],"['新县', '息县']","['息县', '新息县']","['光州', '汝南郡']",['河南'],[],[],"[1820, -202]","[1820, 13]",,,,
29,8.0,陕西省,['陕西省'],,[['陕西']],[{'province': 61}],Province,[],modern,POINT (109.56317830006111 35.651506422327515),['陕西省'],['NA'],['NA'],[],[],[],[],[],[],[],908.4795525725424,0.8199878511212438,109.56317830006111,35.651506422327515
30,8.0,湖北省宜城县,['湖北省宜城县'],,"[['湖北', '宜城']]",[{'county': 420684}],County,[],modern,POINT (112.40848498654628 31.67562340909594),['湖北省'],['襄阳市'],['宜城市'],[],[],[],[],[],[],[],77.6579610638108,0.9846123378241657,112.40848498654628,31.67562340909594
31,8.0,湖北省,['湖北省'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560233
32,9.0,河南省淮滨县,['河南省淮滨县'],,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],[],[],[],[],[],[],[],55.69217627928692,0.9889647837429248,115.31412286503618,32.46081562194832
33,9.0,蒋国,['蒋国'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
34,9.0,期思县,['期思县'],,[['期思']],[{'LEV1': 'hvd_82559'}],['县'],[],historic,POINT (114.89877 32.0097),[],[],[],['期思县'],['蒋州'],[],[],[],[1158],[1160],4.10882535299619,0.9991858501613318,114.89877,32.0097
35,9.0,思县,['思县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
36,9.0,固始县,['固始县'],,[['固始']],[{'county': 411525}],County,[],modern,POINT (115.6391085343304 32.16856521937008),['河南省'],['信阳市'],['固始县'],[],[],[],[],[],[],[],95.90564323075354,0.9809966213563307,115.6391085343304,32.16856521937008
37,9.0,汝南郡,['汝南郡'],,[['汝南']],[{'county': 411727}],County,[],modern,POINT (114.28378837944982 32.91278058629857),['河南省'],['驻马店市'],['汝南县'],[],[],[],[],[],[],[],62.55839383463925,0.9876042659708869,114.28378837944982,32.91278058629857
38,9.0,光州,['光州'],,[['光州']],[{'LEV2': 'hvd_9590'}],['直隶州'],[],historic,POINT (115.04458 32.1303),[],[],[],[],['光州'],['河南'],[],[],[1820.0],[1820.0],6.217635445986574,0.9987679965780106,115.04458,32.1303
39,9.0,河南省固始县,['河南省固始县'],,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.6391085343304 32.16856521937008),['河南省'],['信阳市'],['固始县'],[],[],[],[],[],[],[],95.90564323075354,0.9809966213563307,115.6391085343304,32.16856521937008
40,10.0,河南省,['河南省'],,[['河南']],[{'province': 41}],Province,[],modern,POINT (113.12092453524787 33.871153246001654),['河南省'],['NA'],['NA'],[],[],[],[],[],[],[],602.402864236179,0.8806359110947484,113.12092453524787,33.871153246001654
41,10.0,河南省鲁山县,['河南省鲁山县'],,"[['河南', '鲁山']]",[{'county': 410423}],County,[],modern,POINT (112.66968658592764 33.77054235455924),['河南省'],['平顶山市'],['鲁山县'],[],[],[],[],[],[],[],91.6839266446544,0.9818331402107935,112.66968658592764,33.77054235455924
42,12.0,,['nan'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
43,11.0,湖北省宜城县,['湖北省宜城县'],,"[['湖北', '宜城']]",[{'county': 420684}],County,[],modern,POINT (112.40848498654628 31.67562340909594),['湖北省'],['襄阳市'],['宜城市'],[],[],[],[],[],[],[],77.6579610638108,0.9846123378241657,112.40848498654628,31.67562340909594
44,11.0,河南省淅川县,['河南省淅川县'],,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.40831487747542 32.979228249657424),['河南省'],['南阳市'],['淅川县'],[],[],[],[],[],[],[],105.8536458764005,0.9790254582979839,111.40831487747542,32.979228249657424
45,13.0,湖北省竹山县,['湖北省竹山县'],,"[['湖北', '竹山']]",[{'county': 420323}],County,[],modern,POINT (110.17542338040636 32.07901320445896),['湖北省'],['十堰市'],['竹山县'],[],[],[],[],[],[],[],125.85399421180506,0.9750624569602159,110.17542338040636,32.07901320445896
46,14.0,楚国,['楚国'],,[['楚国']],[{'LEV2': 'hvd_33421'}],['侯国'],[],historic,POINT (117.18768 34.26963),[],[],[],[],['楚国'],['西汉'],[],[],[-154.0],[-70.0],8.999699889883232,0.9982167399234751,117.18768,34.26963
47,14.0,淮阳县,['淮阳县'],,[['淮阳']],[{'county': 411603}],County,[],modern,POINT (114.83825605453461 33.678069228952864),['河南省'],['周口市'],['淮阳区'],[],[],[],[],[],[],[],64.09541647393486,0.9872997101364804,114.83825605453461,33.678069228952864
48,15.0,沈县,['沈县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
49,15.0,楚沈县,['楚沈县'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
50,15.0,安徽省临泉县,['安徽省临泉县'],,"[['安徽', '临泉']]",[{'county': 341221}],County,[],modern,POINT (115.32828737405632 32.85900566936147),['安徽省'],['阜阳市'],['临泉县'],[],[],[],[],[],[],[],71.345042247318,0.9858632213235643,115.32828737405632,32.85900566936147
51,15.0,河南省,['河南省'],,[['河南']],[{'province': 41}],Province,[],modern,POINT (113.12092453524787 33.871153246001654),['河南省'],['NA'],['NA'],[],[],[],[],[],[],[],602.402864236179,0.8806359110947484,113.12092453524787,33.871153246001654
52,15.0,平舆县,['平舆县'],,[['平舆']],[{'county': 411723}],County,[],modern,POINT (114.62813044872894 32.94796881069685),['河南省'],['驻马店市'],['平舆县'],[],[],[],[],[],[],[],50.688347192945876,0.9899562755424965,114.62813044872894,32.94796881069685
53,16.0,安徽省,['安徽省'],,[['安徽']],[{'province': 34}],Province,[],modern,POINT (117.14832897866168 32.02237291277689),['安徽省'],['NA'],['NA'],[],[],[],[],[],[],[],609.2650206519585,0.8792761980237731,117.14832897866168,32.02237291277689
54,17.0,石泉,['石泉'],,[['石泉']],[{'county': 610922}],County,[],modern,POINT (108.26751282105855 33.04731314684197),['陕西省'],['安康市'],['石泉县'],[],[],[],[],[],[],[],62.617769529853774,0.9875925008778185,108.26751282105855,33.04731314684197
55,17.0,郧国,['郧国'],,[['郧']],[{'county': 420322}],County,[],modern,POINT (110.19049872650419 33.01282163609654),['湖北省'],['十堰市'],['郧西县'],[],[],[],[],[],[],[],114.24352619506153,0.977363031905754,110.19049872650419,33.01282163609654
56,17.0,湖北省安陆县,['湖北省安陆县'],,"[['湖北', '安陆']]",[{'county': 420982}],County,[],modern,POINT (113.62465692954694 31.27834039592522),['湖北省'],['孝感市'],['安陆市'],[],[],[],[],[],[],[],58.10498555161702,0.9884866937510072,113.62465692954694,31.27834039592522
57,17.0,湖北省钟祥县,['湖北省钟祥县'],,"[['湖北', '钟祥']]",[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612769,112.59551676913844,31.17367125516534
58,17.0,蒲骚,['蒲骚'],,[['蒲']],[{'county': 141033}],County,[],modern,POINT (111.13079315950708 36.411036612941345),['山西省'],['临汾市'],['蒲县'],[],[],[],[],[],[],[],50.34846117282886,0.9900236228071453,111.13079315950708,36.411036612941345
59,17.0,竟陵县,['竟陵县'],,"[['陵县'], ['竟陵']]","[{'LEV1': 'hvd_1000'}, {'LEV1': 'hvd_34381'}]","['县', '郡']",['Multiple Matches'],historic,,['山东省'],['德州市'],['陵城区'],"['陵县', '竟陵郡']",['济南府'],['山东'],[],[],"[1820, 742]","[1820, 757]",,,,
60,17.0,湖北省京山,['湖北省京山'],,"[['湖北', '京山']]",[{'county': 420882}],County,[],modern,POINT (113.15807382618962 31.085396598193867),['湖北省'],['荆门市'],['京山市'],[],[],[],[],[],[],[],84.34367591918154,0.9832875860512745,113.15807382618962,31.085396598193867
61,17.0,郧县,['郧县'],,[['郧县']],[{'LEV1': 'hvd_626'}],['县'],[],historic,POINT (110.814 32.834),['湖北省'],['十堰市'],['郧西县'],['郧县'],['郧阳府'],['湖北'],[],[],[1820],[1820],0.028849588288607935,0.9999942835517129,110.814,32.834
62,17.0,钟祥,['钟祥'],,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612769,112.59551676913844,31.17367125516534
63,18.0,安徽省凤台县,['安徽省凤台县'],,"[['安徽', '凤台']]",[{'county': 340421}],County,[],modern,POINT (116.58463247421815 32.77307801044718),['安徽省'],['淮南市'],['凤台县'],[],[],[],[],[],[],[],55.82160224992787,0.9889391384248438,116.58463247421815,32.77307801044718
64,18.0,栎,['栎'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
65,18.0,钟离,['钟离'],,[['钟离']],[{'LEV1': 'hvd_33514'}],['郡'],[],historic,POINT (117.64022 32.90163),[],[],[],['钟离郡'],['隋'],[],[],[],[607],[619],4.303611687954291,0.9991472539082529,117.64022,32.90163
66,18.0,吴,['吴'],,[['吴']],[{'county': 320507}],County,[],modern,POINT (120.6608809404832 31.457160096915672),['江苏省'],['苏州市'],['相城区'],[],[],[],[],[],[],[],50.71031797170526,0.9899519221070385,120.6608809404832,31.457160096915672
67,18.0,楚,['楚'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
68,18.0,沈,['沈'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
69,18.0,麻,['麻'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
70,19.0,为叶县,['为叶县'],,[['叶县']],[{'LEV1': 'hvd_598'}],['县'],[],historic,POINT (113.34553 33.6233),['河南省'],['平顶山市'],['叶县'],['叶县'],['南阳府'],['河南'],[],[],[1820],[1820],4.515929743701452,0.9991051838040304,113.34553,33.6233
71,19.0,河南省,['河南省'],,[['河南']],[{'province': 41}],Province,[],modern,POINT (113.12092453524787 33.871153246001654),['河南省'],['NA'],['NA'],[],[],[],[],[],[],[],602.402864236179,0.8806359110947484,113.12092453524787,33.871153246001654
72,20.0,河南省襄城县,['河南省襄城县'],,"[['河南', '襄城']]",[{'county': 411025}],County,[],modern,POINT (113.56201351843009 33.8560914989737),['河南省'],['许昌市'],['襄城县'],[],[],[],[],[],[],[],44.641506794131274,0.9911544365038909,113.56201351843009,33.8560914989737
73,20.0,河南省舞阳县,['河南省舞阳县'],,"[['河南', '舞阳']]",[{'county': 411121}],County,[],modern,POINT (113.70915388481939 33.56876739318649),['河南省'],['漯河市'],['舞阳县'],[],[],[],[],[],[],[],41.261310845840725,0.991824210891834,113.70915388481939,33.56876739318649
74,21.0,河南省,['河南省'],,[['河南']],[{'province': 41}],Province,[],modern,POINT (113.12092453524787 33.871153246001654),['河南省'],['NA'],['NA'],[],[],[],[],[],[],[],602.402864236179,0.8806359110947484,113.12092453524787,33.871153246001654
75,22.0,安徽省桐城县,['安徽省桐城县'],,"[['安徽', '桐城']]",[{'county': 340881}],County,[],modern,POINT (116.89644846126828 30.95963517980894),['安徽省'],['安庆市'],['桐城市'],[],[],[],[],[],[],[],65.58566323288215,0.9870044227844668,116.89644846126828,30.95963517980894
76,22.0,白县,['白县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
77,22.0,淮滨县,['淮滨县'],,[['淮滨']],[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],[],[],[],[],[],[],[],55.69217627928692,0.9889647837429248,115.31412286503618,32.46081562194832
78,22.0,吴国,['吴国'],,[['吴国']],[{'LEV1': 'hvd_112532'}],['国'],[],historic,POINT (120.61862 31.31271),['江苏省'],['苏州市'],['相城区'],['吴国'],['西汉'],[],[],[],[-195],[-155],4.904904890836138,0.9990281096949897,120.61862,31.31271
79,22.0,安徽省六安县,['安徽省六安县'],,"[['安徽', '六安']]",[{'prefecture': 3415}],Prefecture,[],modern,POINT (116.30273438907861 31.81330218662613),['安徽省'],['六安市'],['NA'],[],[],[],[],[],[],[],187.43994125182326,0.9628594099725164,116.30273438907861,31.81330218662613
80,22.0,河南省,['河南省'],,[['河南']],[{'province': 41}],Province,[],modern,POINT (113.12092453524787 33.871153246001654),['河南省'],['NA'],['NA'],[],[],[],[],[],[],[],602.402864236179,0.8806359110947484,113.12092453524787,33.871153246001654
81,22.0,安徽省寿县,['安徽省寿县'],,"[['安徽', '寿']]",[{'county': 340422}],County,[],modern,POINT (116.78281303829905 32.288368620639915),['安徽省'],['淮南市'],['寿县'],[],[],[],[],[],[],[],83.85817003144743,0.983383787399887,116.78281303829905,32.288368620639915
82,23.0,安徽省桐城县,['安徽省桐城县'],,"[['安徽', '桐城']]",[{'county': 340881}],County,[],modern,POINT (116.89644846126828 30.95963517980894),['安徽省'],['安庆市'],['桐城市'],[],[],[],[],[],[],[],65.58566323288215,0.9870044227844668,116.89644846126828,30.95963517980894
83,23.0,安徽省,['安徽省'],,[['安徽']],[{'province': 34}],Province,[],modern,POINT (117.14832897866168 32.02237291277689),['安徽省'],['NA'],['NA'],[],[],[],[],[],[],[],609.2650206519585,0.8792761980237731,117.14832897866168,32.02237291277689
84,23.0,吴,['吴'],,[['吴']],[{'county': 320507}],County,[],modern,POINT (120.6608809404832 31.457160096915672),['江苏省'],['苏州市'],['相城区'],[],[],[],[],[],[],[],50.71031797170526,0.9899519221070385,120.6608809404832,31.457160096915672
85,23.0,安徽省凤阳县,['安徽省凤阳县'],,"[['安徽', '凤阳']]",[{'county': 341126}],County,[],modern,POINT (117.61672510764127 32.84248527073355),['安徽省'],['滁州市'],['凤阳县'],[],[],[],[],[],[],[],78.72892723219927,0.9844001295022479,117.61672510764127,32.84248527073355
86,23.0,六安县,['六安县'],,[['六安']],[{'prefecture': 3415}],Prefecture,[],modern,POINT (116.30273438907861 31.81330218662613),['安徽省'],['六安市'],['NA'],[],[],[],[],[],[],[],187.43994125182326,0.9628594099725164,116.30273438907861,31.81330218662613
87,23.0,楚,['楚'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
88,24.0,九江郡,['九江郡'],,[['九江']],[{'prefecture': 3604}],Prefecture,[],modern,POINT (115.32342667609558 29.384640572068914),['江西省'],['九江市'],['NA'],[],[],[],[],[],[],[],307.73625872244395,0.939023101770788,115.32342667609558,29.384640572068914
89,24.0,凤阳县,['凤阳县'],,[['凤阳']],[{'county': 341126}],County,[],modern,POINT (117.61672510764127 32.84248527073355),['安徽省'],['滁州市'],['凤阳县'],[],[],[],[],[],[],[],78.72892723219927,0.9844001295022479,117.61672510764127,32.84248527073355
90,24.0,安徽省凤阳县,['安徽省凤阳县'],,"[['安徽', '凤阳']]",[{'county': 341126}],County,[],modern,POINT (117.61672510764127 32.84248527073355),['安徽省'],['滁州市'],['凤阳县'],[],[],[],[],[],[],[],78.72892723219927,0.9844001295022479,117.61672510764127,32.84248527073355
91,25.0,湖北省,['湖北省'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560233
92,26.0,楚国,['楚国'],,[['楚国']],[{'LEV2': 'hvd_33421'}],['侯国'],[],historic,POINT (117.18768 34.26963),[],[],[],[],['楚国'],['西汉'],[],[],[-154.0],[-70.0],8.999699889883232,0.9982167399234751,117.18768,34.26963
93,26.0,棠县,['棠县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
94,26.0,江苏省六合县,['江苏省六合县'],,"[['江苏', '六合']]",[{'county': 320116}],County,[],modern,POINT (118.85810619277456 32.37693084582505),['江苏省'],['南京市'],['六合区'],[],[],[],[],[],[],[],62.03938569555323,0.9877071056772269,118.85810619277456,32.37693084582505
95,27.0,河南省南阳市,['河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
96,27.0,楚武城,['楚武城'],,[['武城']],[{'county': 371428}],County,[],modern,POINT (116.0936134987522 37.23694406227288),['山东省'],['德州市'],['武城县'],[],[],[],[],[],[],[],47.354701157831926,0.9906168262226772,116.0936134987522,37.23694406227288
97,27.0,武城,['武城'],,[['武城']],[{'county': 371428}],County,[],modern,POINT (116.0936134987522 37.23694406227288),['山东省'],['德州市'],['武城县'],[],[],[],[],[],[],[],47.354701157831926,0.9906168262226772,116.0936134987522,37.23694406227288
98,27.0,武城县,['武城县'],,[['武城']],[{'county': 371428}],County,[],modern,POINT (116.0936134987522 37.23694406227288),['山东省'],['德州市'],['武城县'],[],[],[],[],[],[],[],47.354701157831926,0.9906168262226772,116.0936134987522,37.23694406227288
99,27.0,楚地,['楚地'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
100,27.0,河南省信阳市,['河南省信阳市'],,"[['河南', '信阳']]",[{'prefecture': 4115}],Prefecture,[],modern,POINT (114.84027731732934 32.0441970512676),['河南省'],['信阳市'],['NA'],[],[],[],[],[],[],[],217.99362149396168,0.9568053016318638,114.84027731732934,32.0441970512676
101,27.0,申地,['申地'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
102,28.0,鄢,['鄢'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
103,28.0,蓝县,['蓝县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
104,28.0,湖北省钟祥县,['湖北省钟祥县'],,"[['湖北', '钟祥']]",[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612769,112.59551676913844,31.17367125516534
105,29.0,安徽省,['安徽省'],,[['安徽']],[{'province': 34}],Province,[],modern,POINT (117.14832897866168 32.02237291277689),['安徽省'],['NA'],['NA'],[],[],[],[],[],[],[],609.2650206519585,0.8792761980237731,117.14832897866168,32.02237291277689
106,29.0,河南省,['河南省'],,[['河南']],[{'province': 41}],Province,[],modern,POINT (113.12092453524787 33.871153246001654),['河南省'],['NA'],['NA'],[],[],[],[],[],[],[],602.402864236179,0.8806359110947484,113.12092453524787,33.871153246001654
107,29.0,淮阳国,['淮阳国'],,[['淮阳国']],[{'LEV2': 'hvd_115384'}],['国'],[],historic,POINT (114.88245 33.73398),['河南省'],['周口市'],['淮阳区'],[],['淮阳国'],[],[],[],[-194.0],[205.0],7.377639193787281,0.9985381457610519,114.88245,33.73398
108,30.0,山西省新绛县,['山西省新绛县'],,"[['山西', '新绛']]",[{'county': 140825}],County,[],modern,POINT (111.1854972108404 35.63846070730684),['山西省'],['运城市'],['新绛县'],[],[],[],[],[],[],[],40.223131840372076,0.9920299225483771,111.1854972108404,35.63846070730684
109,30.0,晋国,['晋国'],,[['晋']],[{'county': 130183}],County,[],modern,POINT (115.08725515145593 37.99490758059366),['河北省'],['石家庄市'],['晋州市'],[],[],[],[],[],[],[],41.98202073094848,0.991681404667116,115.08725515145593,37.99490758059366
