,index,id,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMPLR,CHECKER,END_DATE,BEG_CHG_TY,END_CHG_TY,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,Maximum Error Distance,Certainty,X,Y,error_distance,closeness,target_toponym
10,10,10,Xian Zhou,宪州,憲州,111.844743,38.096677,今山西楼烦县楼烦镇汾河水库库区,Zhou,州,3.0,889,4.0,1001,4.0,94221,POINT,94221,FROM_FD,王尚义王杰,,,,新建,治所迁移,['今山西楼烦县楼烦镇汾河水库库区'],,[['山西']],[{'province': 14}],Province,[],modern,POINT (112.47245736275306 37.66516721635999),['山西省'],['NA'],['NA'],758.2426072106181,0.8497567934149899,112.47245736275306,37.66516721635999,73.09882080869129,0.9772426430237477,宪州
11,11,11,Xian Zhou,宪州,憲州,111.940397,38.357685,今山西静乐县,Zhou,州,3.0,1002,4.0,1069,4.0,94222,POINT,94222,FROM_AC,王尚义王杰,,,,治所迁移,撤销,['今山西静乐县'],,"[['山西', '静乐']]",[{'county': 140926}],County,[],modern,POINT (112.06348183858893 38.408019993068095),['山西省'],['忻州市'],['静乐县'],59.97916811744326,0.9881153308181704,112.06348183858891,38.408019993068095,12.119231986669737,0.9026005252711358,宪州
12,12,12,Xian Zhou,宪州,憲州,111.940397,38.357685,今山西静乐县,Zhou,州,3.0,1077,4.0,1150,4.0,94224,POINT,94224,FROM_AC,王尚义王杰,,,,新建,更名,['今山西静乐县'],,"[['山西', '静乐']]",[{'county': 140926}],County,[],modern,POINT (112.06348183858893 38.408019993068095),['山西省'],['忻州市'],['静乐县'],59.97916811744326,0.9881153308181704,112.06348183858891,38.408019993068095,12.119231986669737,0.9026005252711358,宪州
13,13,13,Guan Zhou,管州,管州,111.940397,38.357685,今山西静乐县,Zhou,州,3.0,1151,4.0,1268,4.0,0,POINT,210007,FROM_AC,王尚义王杰,,,,更名,撤销,['今山西静乐县'],,"[['山西', '静乐']]",[{'county': 140926}],County,[],modern,POINT (112.06348183858893 38.408019993068095),['山西省'],['忻州市'],['静乐县'],59.97916811744326,0.9881153308181704,112.06348183858891,38.408019993068095,12.119231986669737,0.9026005252711358,管州
14,14,14,Xiurong Jun,秀容郡,秀容郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3.0,410,4.0,549,4.0,0,POINT,210008,FROM_AC,王尚义王杰,,,,新建,撤销,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,秀容郡
15,15,15,Xinxing Jun,新兴郡,新興郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3.0,215,4.0,295,4.0,0,POINT,210009,FROM_AC,王尚义王杰,,,,新建,更名,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,新兴郡
16,16,16,Jinchang Jun,晋昌郡,晉昌郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3.0,296,4.0,299,4.0,0,POINT,210010,FROM_AC,王尚义王杰,,,,更名,更名,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,晋昌郡
17,17,17,Xinxing Jun,新兴郡,新興郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3.0,300,4.0,445,4.0,0,POINT,210011,FROM_AC,王尚义王杰,,,,更名,治所迁移,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,新兴郡
18,18,18,Xinxing Jun,新兴郡,新興郡,112.944084,38.492717,今山西定襄县城,Jun,郡,3.0,446,4.0,528,4.0,0,POINT,210012,FROM_AC,王尚义王杰,,,,治所迁移,更名,['今山西定襄县城'],,"[['山西', '定襄']]",[{'county': 140921}],County,[],modern,POINT (113.05707625740898 38.50783225980935),['山西省'],['忻州市'],['定襄县'],50.21564649368168,0.9900499395863488,113.05707625740898,38.50783225980935,9.998381982192695,0.9053296583914656,新兴郡
19,19,19,Yong'an Jun,永安郡,永安郡,112.944084,38.492717,今山西定襄县城,Jun,郡,3.0,529,4.0,555,4.0,0,POINT,210013,FROM_AC,王尚义王杰,,,,更名,撤销,['今山西定襄县城'],,"[['山西', '定襄']]",[{'county': 140921}],County,[],modern,POINT (113.05707625740898 38.50783225980935),['山西省'],['忻州市'],['定襄县'],50.21564649368168,0.9900499395863488,113.05707625740898,38.50783225980935,9.998381982192695,0.9053296583914656,永安郡
20,20,20,Xinxing Jun,新兴郡,新興郡,112.733095,38.26174,今山西忻州市南三十里,Jun,郡,3.0,581,4.0,583,4.0,0,POINT,210014,FROM_FD,王尚义王杰,,,,新建,撤销,['今山西忻州市南三十里'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,77.4134716593908,0.8101829812400381,新兴郡
21,21,21,Xinxing Jun,新兴郡,新興郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3.0,617,4.0,617,4.0,94203,POINT,94203,FROM_AC,王尚义王杰,,,,新建,更名,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,新兴郡
22,22,22,Xin Zhou,忻州,忻州,112.731508,38.398588,今山西忻州市区,Zhou,州,3.0,618,4.0,741,4.0,0,POINT,210015,FROM_AC,王尚义王杰,,,,更名,更名,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,忻州
23,23,23,Dingxiang Jun,定襄郡,定襄郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3.0,742,4.0,757,4.0,0,POINT,210016,FROM_AC,王尚义王杰,,,,更名,更名,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,定襄郡
24,24,24,Xin Zhou,忻州,忻州,112.731508,38.398588,今山西忻州市区,Zhou,州,3.0,758,4.0,1217,4.0,94220,POINT,94220,FROM_AC,王尚义王杰,,,,更名,撤销,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,忻州
25,25,25,Xin Zhou,忻州,忻州,112.731508,38.398588,今山西忻州市区,Zhou,州,3.0,1724,4.0,1911,6.0,94023,POINT,94023,FROM_AC,王尚义王杰,,,,新建,数据下限,['今山西忻州市区'],,"[['山西', '忻州']]",[{'prefecture': 1409}],Prefecture,[],modern,POINT (112.3849056392616 38.90332705460911),['山西省'],['忻州市'],['NA'],269.7483049990004,0.9465502862427992,112.3849056392616,38.90332705460911,63.63756550370627,0.8688471306278422,忻州
26,26,26,Jinle Jun,静乐军,靜樂軍,111.940397,38.357685,今山西静乐县城,Jun,军,3.0,1000,4.0,1002,4.0,0,POINT,210017,FROM_AC,王尚义王杰,,,,新建,撤销,['今山西静乐县城'],,"[['山西', '静乐']]",[{'county': 140926}],County,[],modern,POINT (112.06348183858893 38.408019993068095),['山西省'],['忻州市'],['静乐县'],59.97916811744326,0.9881153308181704,112.06348183858891,38.408019993068095,12.119231986669737,0.9026005252711358,静乐军
27,27,27,Silu Jun,肆卢郡,肆卢郡,112.688578,38.450771,今山西忻州市忻府区奇村镇奇村,Jun,郡,3.0,398,4.0,446,4.0,0,POINT,210018,FROM_FD,王尚义王杰,,,,新建,撤销,['今山西忻州市忻府区奇村镇奇村'],,"[['山西', '忻州', '忻府']]",[{'county': 140902}],County,[],modern,POINT (112.60043598670555 38.45191106047507),['山西省'],['忻州市'],['忻府区'],61.06113048369781,0.9879009436368588,112.60043598670556,38.45191106047507,7.695081985316248,0.9613226848788798,肆卢郡
28,28,28,Leping Jun,乐平郡,樂平郡,113.574183,37.595652,今山西昔阳县掌城村,Jun,郡,3.0,215,4.0,447,4.0,0,POINT,210019,FROM_FD,王尚义王杰,,,,新建,撤销,['今山西昔阳县掌城村'],,"[['山西', '昔阳']]",[{'county': 140724}],County,[],modern,POINT (113.71731529748325 37.52563447457102),['山西省'],['晋中市'],['昔阳县'],75.77164598509489,0.9849861047733728,113.71731529748324,37.52563447457102,14.84314455430465,0.9082665641656265,乐平郡
29,29,29,Leping Jun,乐平郡,樂平郡,113.574183,37.595652,今山西昔阳县掌城村,Jun,郡,3.0,556,4.0,582,4.0,0,POINT,210020,FROM_FD,王尚义王杰,,,,治所迁移,撤销,['今山西昔阳县掌城村'],,"[['山西', '昔阳']]",[{'county': 140724}],County,[],modern,POINT (113.71731529748325 37.52563447457102),['山西省'],['晋中市'],['昔阳县'],75.77164598509489,0.9849861047733728,113.71731529748324,37.52563447457102,14.84314455430465,0.9082665641656265,乐平郡
30,30,30,Liao Zhou,辽州,遼州,113.697126,37.608366,今山西昔阳县城,Zhou,州,3.0,596,4.0,605,4.0,110070,POINT,212410,FROM_AC,王尚义王杰,,,,新建,撤销,['今山西昔阳县城'],,"[['山西', '昔阳']]",[{'county': 140724}],County,[],modern,POINT (113.71731529748325 37.52563447457102),['山西省'],['晋中市'],['昔阳县'],75.77164598509489,0.9849861047733728,113.71731529748324,37.52563447457102,9.35386453834748,0.9628671563946629,辽州
31,31,31,Liao Zhou,辽州,遼州,113.697126,37.608366,今山西昔阳县城,Zhou,州,3.0,620,4.0,622,4.0,94189,POINT,94189,FROM_AC,王尚义王杰,,,,新建,治所迁移,['今山西昔阳县城'],,"[['山西', '昔阳']]",[{'county': 140724}],County,[],modern,POINT (113.71731529748325 37.52563447457102),['山西省'],['晋中市'],['昔阳县'],75.77164598509489,0.9849861047733728,113.71731529748324,37.52563447457102,9.35386453834748,0.9628671563946629,辽州
32,32,32,Shou Zhou,受州,受州,112.712373,38.178207,今山西阳曲县大盂镇,Zhou,州,3.0,620,4.0,622,4.0,94187,POINT,94187,FROM_AC,王尚义王杰,,,,新建,治所迁移,['今山西阳曲县大盂镇'],,"[['山西', '阳曲']]",[{'county': 140122}],County,[],modern,POINT (112.59149975175032 38.186747937047),['山西省'],['太原市'],['阳曲县'],87.44477664945516,0.9826731134362716,112.59149975175032,38.186747937047,10.632583310020793,0.9639618736848156,受州
33,33,33,Shou Zhou,受州,受州,112.071819,37.428989,今山西阳曲县大盂镇,Zhou,州,3.0,623,4.0,624,4.0,0,POINT,210021,FROM_FD,王尚义王杰,,,,治所迁移,治所迁移,['今山西阳曲县大盂镇'],,"[['山西', '阳曲']]",[{'county': 140122}],County,[],modern,POINT (112.59149975175032 38.186747937047),['山西省'],['太原市'],['阳曲县'],87.44477664945516,0.9826731134362716,112.59149975175032,38.186747937047,95.74973424588273,0.0,受州
34,34,34,Shou Zhou,受州,受州,113.564793,37.85463,今山西阳曲县大盂镇,Zhou,州,3.0,625,4.0,633,4.0,0,POINT,210022,FROM_FD,王尚义王杰,,,,治所迁移,撤销,['今山西阳曲县大盂镇'],,"[['山西', '阳曲']]",[{'county': 140122}],County,[],modern,POINT (112.59149975175032 38.186747937047),['山西省'],['太原市'],['阳曲县'],87.44477664945516,0.9826731134362716,112.59149975175032,38.186747937047,93.07368030679352,0.0,受州
35,35,35,Pingding Jun,平定军,平定軍,113.627727,37.721871,今山西平定县新城村,Jun,军,3.0,977,4.0,978,4.0,0,POINT,210023,FROM_FD,王尚义王杰,,,,新建,治所迁移,['今山西平定县新城村'],,"[['山西', '平定']]",[{'county': 140321}],County,[],modern,POINT (113.83915646141375 37.916018602764524),['山西省'],['阳泉市'],['平定县'],59.640842593895925,0.988182368875705,113.83915646141376,37.91601860276453,28.47653111283566,0.5353652804713693,平定军
36,36,36,Pingding Jun,平定军,平定軍,113.622594,37.802043,今山西平定县城,Jun,军,3.0,979,4.0,1181,4.0,0,POINT,210024,FROM_AC,王尚义王杰,,,,治所迁移,更名,['今山西平定县城'],,"[['山西', '平定']]",[{'county': 140321}],County,[],modern,POINT (113.83915646141375 37.916018602764524),['山西省'],['阳泉市'],['平定县'],59.640842593895925,0.988182368875705,113.83915646141376,37.91601860276453,22.874171346564633,0.6788926094965657,平定军
37,37,37,Pingding Zhou,平定州,平定州,113.622594,37.802043,今山西平定县城,Zhou,州,3.0,1182,4.0,1217,4.0,94244,POINT,94244,FROM_AC,王尚义王杰,,,,更名,撤销,['今山西平定县城'],,"[['山西', '平定']]",[{'county': 140321}],County,[],modern,POINT (113.83915646141375 37.916018602764524),['山西省'],['阳泉市'],['平定县'],59.640842593895925,0.988182368875705,113.83915646141376,37.91601860276453,22.874171346564633,0.6788926094965657,平定州
38,38,38,Pingding Zhou,平定州,平定州,113.622594,37.802043,今山西平定县城关镇,Zhilizhou,直隶州,3.0,1724,4.0,1911,6.0,94022,POINT,94022,FROM_AC,王尚义王杰,,,,新建,数据下限,['今山西平定县城关镇'],,"[['山西', '平定']]",[{'county': 140321}],County,[],modern,POINT (113.83915646141375 37.916018602764524),['山西省'],['阳泉市'],['平定县'],59.640842593895925,0.988182368875705,113.83915646141376,37.91601860276453,22.874171346564633,0.6788926094965657,平定州
39,39,39,Pingjin Jun,平晋军,平晋軍,113.697126,37.608366,今山西昔阳县城,Jun,军,3.0,963,4.0,978,4.0,0,POINT,210025,FROM_AC,王尚义王杰,,,,新建,撤销,['今山西昔阳县城'],,"[['山西', '昔阳']]",[{'county': 140724}],County,[],modern,POINT (113.71731529748325 37.52563447457102),['山西省'],['晋中市'],['昔阳县'],75.77164598509489,0.9849861047733728,113.71731529748324,37.52563447457102,9.35386453834748,0.9628671563946629,平晋军
40,40,40,Taiyuan Jun,太原郡,太原郡,112.488755,37.73958,今山西太原市晋源区古城营村,Jun,郡,3.0,-247,4.0,219,4.0,0,POINT,210026,FROM_FD,王尚义王杰,,,,新建,更名,['今山西太原市晋源区古城营村'],,"[['山西', '太原', '晋源']]",[{'county': 140110}],County,[],modern,POINT (112.42930408378669 37.71496319432235),['山西省'],['太原市'],['晋源区'],27.05161392558317,0.99463981424833,112.42930408378668,37.71496319432235,5.910437341220286,0.8867667565217489,太原郡
41,41,41,Taiyuan Guo,太原国,太原國,112.488755,37.73958,今山西太原市晋源区古城营村,Guo,国,3.0,220,4.0,395,4.0,0,POINT,210027,FROM_FD,王尚义王杰,,,,更名,更名,['今山西太原市晋源区古城营村'],,"[['山西', '太原', '晋源']]",[{'county': 140110}],County,[],modern,POINT (112.42930408378669 37.71496319432235),['山西省'],['太原市'],['晋源区'],27.05161392558317,0.99463981424833,112.42930408378668,37.71496319432235,5.910437341220286,0.8867667565217489,太原
42,42,42,Taiyuan Jun,太原郡,太原郡,112.488755,37.73958,今山西太原市晋源区古城营村,Jun,郡,3.0,396,4.0,583,4.0,0,POINT,210028,FROM_FD,王尚义王杰,,,,更名,撤销,['今山西太原市晋源区古城营村'],,"[['山西', '太原', '晋源']]",[{'county': 140110}],County,[],modern,POINT (112.42930408378669 37.71496319432235),['山西省'],['太原市'],['晋源区'],27.05161392558317,0.99463981424833,112.42930408378668,37.71496319432235,5.910437341220286,0.8867667565217489,太原郡
43,43,43,Taiyuan Jun,太原郡,太原郡,112.488755,37.73958,今山西太原市晋源区古城营村,Jun,郡,3.0,607,4.0,617,4.0,94184,POINT,94184,FROM_FD,王尚义王杰,,,,更名,更名,['今山西太原市晋源区古城营村'],,"[['山西', '太原', '晋源']]",[{'county': 140110}],County,[],modern,POINT (112.42930408378669 37.71496319432235),['山西省'],['太原市'],['晋源区'],27.05161392558317,0.99463981424833,112.42930408378668,37.71496319432235,5.910437341220286,0.8867667565217489,太原郡
44,44,44,Bing Zhou,并州,並州,112.488755,37.73958,今山西太原市晋源区古城营村,Zhou,州,3.0,618,4.0,722,4.0,0,POINT,210029,FROM_FD,王尚义王杰,,,,更名,更名,['今山西太原市晋源区古城营村'],,"[['山西', '太原', '晋源']]",[{'county': 140110}],County,[],modern,POINT (112.42930408378669 37.71496319432235),['山西省'],['太原市'],['晋源区'],27.05161392558317,0.99463981424833,112.42930408378668,37.71496319432235,5.910437341220286,0.8867667565217489,并州
45,45,45,Taiyuan Fu,太原府,太原府,112.565127,37.873765,今山西太原市晋源区古城营村,Fu,府,3.0,723,4.0,978,4.0,94213,POINT,94213,FROM_AC,王尚义王杰,,,,更名,更名和治所迁移,['今山西太原市晋源区古城营村'],,"[['山西', '太原', '晋源']]",[{'county': 140110}],County,[],modern,POINT (112.42930408378669 37.71496319432235),['山西省'],['太原市'],['晋源区'],27.05161392558317,0.99463981424833,112.42930408378668,37.71496319432235,21.302118452852234,0.10737847513690868,太原府
46,46,46,Bing Zhou,并州,並州,112.744986,37.678474,今山西晋中市榆次区,Zhou,州,3.0,979,4.0,981,4.0,0,POINT,210030,FROM_AC,王尚义王杰,,,,更名和治所迁移,治所迁移,['今山西晋中市榆次区'],,"[['山西', '晋中', '榆次']]",[{'county': 140702}],County,[],modern,POINT (112.80606991650117 37.635511644302525),['山西省'],['晋中市'],['榆次区'],59.01837749784267,0.9883057082279504,112.80606991650116,37.635511644302525,7.196535632860691,0.9637594578995672,并州
47,47,47,Bing Zhou,并州,並州,112.565127,37.873765,今山西晋中市榆次区,Zhou,州,3.0,982,4.0,1058,4.0,0,POINT,210031,FROM_AC,王尚义王杰,,,,治所迁移,更名,['今山西晋中市榆次区'],,"[['山西', '晋中', '榆次']]",[{'county': 140702}],County,[],modern,POINT (112.80606991650117 37.635511644302525),['山西省'],['晋中市'],['榆次区'],59.01837749784267,0.9883057082279504,112.80606991650116,37.635511644302525,33.91356008793128,0.3838469383098675,并州
48,48,48,Taiyuan Fu,太原府,太原府,112.495363,37.8639,今山西太原市,Fu,府,3.0,1059,4.0,1217,4.0,94242,POINT,94242,FROM_FD,王尚义王杰,,,,更名,更名,['今山西太原市'],,"[['山西', '太原']]",[{'prefecture': 1401}],Prefecture,[],modern,POINT (112.16363247158904 37.938105067474794),['山西省'],['太原市'],['NA'],150.18954879848383,0.9702404491749008,112.16363247158904,37.9381050674748,30.31609632978556,0.902791505269831,太原府
49,49,49,Taiyuan Lu,太原路,太原路,112.565127,37.873765,今山西晋中市榆次区,Lu,路,3.0,1218,4.0,1304,4.0,0,POINT,210032,FROM_AC,王尚义王杰,,,,更名,更名,['今山西晋中市榆次区'],,"[['山西', '晋中', '榆次']]",[{'county': 140702}],County,[],modern,POINT (112.80606991650117 37.635511644302525),['山西省'],['晋中市'],['榆次区'],59.01837749784267,0.9883057082279504,112.80606991650116,37.635511644302525,33.91356008793128,0.3838469383098675,太原路
50,50,50,Jining Lu,冀宁路,冀甯路,112.565127,37.873765,今山西晋中市榆次区,Lu,路,3.0,1305,4.0,1367,4.0,0,POINT,210033,FROM_AC,王尚义王杰,,,,更名,更名,['今山西晋中市榆次区'],,"[['山西', '晋中', '榆次']]",[{'county': 140702}],County,[],modern,POINT (112.80606991650117 37.635511644302525),['山西省'],['晋中市'],['榆次区'],59.01837749784267,0.9883057082279504,112.80606991650116,37.635511644302525,33.91356008793128,0.3838469383098675,冀宁路
51,51,51,Taiyuan Fu,太原府,太原府,112.495363,37.8639,今山西太原市,Fu,府,3.0,1368,4.0,1911,6.0,94021,POINT,94021,FROM_FD,王尚义王杰,,,,更名,数据下限,['今山西太原市'],,"[['山西', '太原']]",[{'prefecture': 1401}],Prefecture,[],modern,POINT (112.16363247158904 37.938105067474794),['山西省'],['太原市'],['NA'],150.18954879848383,0.9702404491749008,112.16363247158904,37.9381050674748,30.31609632978556,0.902791505269831,太原府
52,52,52,Bing Zhou,并州,並州,112.488755,37.73958,今山西太原市晋源区古城营村,Zhou,州,3.0,220,4.0,606,4.0,0,POINT,210034,FROM_FD,王尚义王杰,,,,新建,更名,['今山西太原市晋源区古城营村'],,"[['山西', '太原', '晋源']]",[{'county': 140110}],County,[],modern,POINT (112.42930408378669 37.71496319432235),['山西省'],['太原市'],['晋源区'],27.05161392558317,0.99463981424833,112.42930408378668,37.71496319432235,5.910437341220286,0.8867667565217489,并州
53,53,53,Kelan Jun,岢岚军,岢嵐軍,111.570235,38.704008,今山西岢岚县,Jun,军,3.0,980,4.0,1181,4.0,115504,POINT,212202,FROM_AC,王尚义王杰,,,,新建,更名,['今山西岢岚县'],,"[['山西', '岢岚']]",[{'county': 140929}],County,[],modern,POINT (111.54101638902821 38.74785527269334),['山西省'],['忻州市'],['岢岚县'],61.291542292256814,0.9878552883167492,111.5410163890282,38.74785527269334,5.490754687306226,0.9803286461456842,岢岚军
54,54,54,Kelan Zhou,岢岚州,岢嵐州,111.570235,38.704008,今山西岢岚县,Zhou,州,3.0,1182,4.0,1220,4.0,115505,POINT,212203,FROM_AC,王尚义王杰,,,,更名,撤销,['今山西岢岚县'],,"[['山西', '岢岚']]",[{'county': 140929}],County,[],modern,POINT (111.54101638902821 38.74785527269334),['山西省'],['忻州市'],['岢岚县'],61.291542292256814,0.9878552883167492,111.5410163890282,38.74785527269334,5.490754687306226,0.9803286461456842,岢岚州
