,index,id,toponym,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y,closeness,target_toponym
13,13,8.0,商县,今湖北省均县附近,['今湖北省均县附近'],,"[['湖北', '均']]",[{'county': 420381}],County,[],modern,POINT (111.2478577665955 32.59461104834358),['湖北省'],['十堰市'],['丹江口市'],[],[],[],[],[],[],[],82.15262921111567,0.9837217345415687,111.2478577665955,32.59461104834358,0.9999999999999964,商
14,14,9.0,期思国,今河南省淮滨县东南期思乡,['今河南省淮滨县东南期思乡'],,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],[],[],[],[],[],[],[],55.69217627928692,0.9889647837429248,115.31412286503618,32.46081562194832,0.9999999999999913,﻿期思
15,15,10.0,析县,河南省西峡县,['河南省西峡县'],,"[['河南', '西峡']]",[{'county': 411323}],County,[],modern,POINT (111.33477339151108 33.463616943856806),['河南省'],['南阳市'],['西峡县'],[],[],[],[],[],[],[],87.43215001714287,0.9826756153607332,111.33477339151108,33.463616943856806,0.9999999999999998,﻿析；白羽
16,16,10.0,析君,析县,['析县'],,[['析县']],[{'LEV1': 'hvd_82759'}],['县'],[],historic,POINT (111.47452 33.30071),[],[],[],['析县'],['三川郡'],[],[],[],[-298],[13],13.799979475585475,0.9972655807686056,111.47452,33.30071,0.0,
18,18,10.0,容城,河南省鲁山县东南,['河南省鲁山县东南'],东南,"[['河南', '鲁山']]",[{'county': 410423}],County,[],modern,POINT (112.97315054814776 33.635538449837114),['河南省'],['平顶山市'],['鲁山县'],[],[],[],[],[],[],[],91.6839266446544,0.9818331402107936,112.97315054814776,33.635538449837114,0.0,
19,19,12.0,庐,湖北省襄樊市西南,['湖北省襄樊市西南'],西南,[['湖北']],[{'province': 42}],Province,[],modern,POINT (109.51835403262527 30.068949733121002),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,109.51835403262528,30.068949733121,0.0,﻿庐
20,20,12.0,庐戢桨,襄阳中庐县,['襄阳中庐县'],,"[['中庐', '襄阳']]",[{'LEV1': 'hvd_45696'}],['县'],[],historic,POINT (112.0238 31.91545),['山东省'],['济南市'],['市中区'],['中庐县'],['襄阳郡'],[],[],[],[208],[551],4.012971928098163,0.9992048431930894,112.0238,31.91545,0.0,
21,21,11.0,商密,河南省淅川县西南,['河南省淅川县西南'],西南,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.34881046227096 32.89586563317357),['河南省'],['南阳市'],['淅川县'],[],[],[],[],[],[],[],105.8536458764005,0.979025458297984,111.34881046227096,32.89586563317357,0.0,
22,22,11.0,宜城,湖北省宜城县东南,['湖北省宜城县东南'],东南,"[['湖北', '宜城']]",[{'county': 420684}],County,[],modern,POINT (112.54929721526733 31.592039069509852),['湖北省'],['襄阳市'],['宜城市'],[],[],[],[],[],[],[],77.6579610638108,0.9846123378241656,112.54929721526732,31.59203906950985,0.0,
23,23,11.0,鄀,今河南淅川下寺八号楚墓中,['今河南淅川下寺八号楚墓中'],,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.40831487747542 32.979228249657424),['河南省'],['南阳市'],['淅川县'],[],[],[],[],[],[],[],105.8536458764005,0.979025458297984,111.40831487747542,32.979228249657424,0.9745775727127685,鄀
24,24,11.0,番,楚昭王十二年,['楚昭王十二年'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403,0.9999997803378922,112.19077,30.35045,0.0,
25,25,11.0,郢,楚昭王十三年,['楚昭王十三年'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403,0.9999997803378922,112.19077,30.35045,0.0,
26,26,11.0,鄢,楚惠王即位之初,['楚惠王即位之初'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403,0.9999997803378922,112.19077,30.35045,0.0,
27,27,13.0,庸,湖北省竹山县西南,['湖北省竹山县西南'],西南,"[['湖北', '竹山']]",[{'county': 420323}],County,[],modern,POINT (110.02016358021368 32.23409831660457),['湖北省'],['十堰市'],['竹山县'],[],[],[],[],[],[],[],125.85399421180506,0.975062456960216,110.02016358021368,32.23409831660457,0.9999999999999994,﻿庸；上庸
28,28,14.0,宛丘,河南省淮阳县,['河南省淮阳县'],,"[['河南', '淮阳']]",[{'county': 411603}],County,[],modern,POINT (114.83825605453461 33.678069228952864),['河南省'],['周口市'],['淮阳区'],[],[],[],[],[],[],[],64.09541647393486,0.9872997101364804,114.8382560545346,33.678069228952864,0.9999999999999893,陈；宛丘
29,29,15.0,沈尹,今安徽省临泉县,['今安徽省临泉县'],,"[['安徽', '临泉']]",[{'county': 341221}],County,[],modern,POINT (115.32828737405632 32.85900566936147),['安徽省'],['阜阳市'],['临泉县'],[],[],[],[],[],[],[],71.345042247318,0.9858632213235644,115.32828737405632,32.85900566936147,0.0,
30,30,15.0,沈县,今临泉县,['今临泉县'],,[['临泉']],[{'county': 341221}],County,[],modern,POINT (115.32828737405632 32.85900566936147),['安徽省'],['阜阳市'],['临泉县'],[],[],[],[],[],[],[],71.345042247318,0.9858632213235644,115.32828737405632,32.85900566936147,0.9999999999999971,﻿沈
31,31,16.0,城父,河南省襄城县西,['河南省襄城县西'],西,"[['河南', '襄城']]",[{'county': 411025}],County,[],modern,POINT (113.47250298944223 33.86734107714353),['河南省'],['许昌市'],['襄城县'],[],[],[],[],[],[],[],44.64150679413128,0.9911544365038908,113.47250298944223,33.86734107714353,0.793571143963129,﻿城父
32,32,16.0,城父,安徽省亳州市东南,['安徽省亳州市东南'],东南,"[['安徽', '亳州']]",[{'prefecture': 3416}],Prefecture,[],modern,POINT (116.47773728565241 33.15166844473542),['安徽省'],['亳州市'],['NA'],[],[],[],[],[],[],[],164.22402857972116,0.9674595645015344,116.4777372856524,33.15166844473542,0.0,﻿城父
34,34,17.0,郧县,汉晋江夏郡之竟陵县,['汉晋江夏郡之竟陵县'],,"[['竟陵', '江夏']]",[{'LEV1': 'hvd_43593'}],['县'],[],historic,POINT (112.84528 30.48291),"['福建省', '湖北省']","['泉州市', '武汉市']","['晋江市', '江夏区']",['竟陵县'],['江夏郡'],['东汉'],[],[],[23],[61],1.937457815449728,0.9996160992905856,112.84528,30.48291,0.0,﻿郧
35,35,18.0,州来,安徽省凤台县,['安徽省凤台县'],,"[['安徽', '凤台']]",[{'county': 340421}],County,[],modern,POINT (116.58463247421815 32.77307801044718),['安徽省'],['淮南市'],['凤台县'],[],[],[],[],[],[],[],55.82160224992787,0.9889391384248438,116.58463247421815,32.77307801044718,0.9999999999999953,州来
36,36,19.0,叶县,今南阳叶县,['今南阳叶县'],,"[['叶县', '南阳']]",[{'LEV1': 'hvd_598'}],['县'],[],historic,POINT (113.34553 33.6233),['河南省'],"['平顶山市', '南阳市']","['NA', '叶县']",['叶县'],['南阳府'],['河南'],[],[],[1820],[1820],4.515929743701452,0.9991051838040304,113.34553,33.6233,0.7183189632417666,﻿叶
37,37,19.0,许国,今河南省许昌市东,['今河南省许昌市东'],东,"[['河南', '许昌']]",[{'prefecture': 4110}],Prefecture,[],modern,POINT (114.00400805581671 34.01837218896118),['河南省'],['许昌市'],['NA'],[],[],[],[],[],[],[],125.99374879965328,0.9750347650615891,114.00400805581673,34.01837218896118,0.0,
38,38,19.0,叶,今河南省叶县南,['今河南省叶县南'],南,"[['叶县', '河南']]",[{'LEV1': 'hvd_598'}],['县'],[],historic,POINT (113.34553 33.6233),['河南省'],['平顶山市'],['叶县'],['叶县'],['南阳府'],['河南'],[],[],[1820],[1820],4.515929743701452,0.9991051838040304,113.34553,33.6233,0.7183189632417666,﻿叶
39,39,20.0,陈,今河南省舞阳县西北,['今河南省舞阳县西北'],西北,"[['河南', '舞阳']]",[{'county': 411121}],County,[],modern,POINT (113.63693409772601 33.62173883629204),['河南省'],['漯河市'],['舞阳县'],[],[],[],[],[],[],[],41.261310845840725,0.991824210891834,113.636934097726,33.62173883629204,0.0,
40,40,20.0,蔡,今河南省襄城县东南,['今河南省襄城县东南'],东南,"[['河南', '襄城']]",[{'county': 411025}],County,[],modern,POINT (113.66109938929417 33.78758458318967),['河南省'],['许昌市'],['襄城县'],[],[],[],[],[],[],[],44.64150679413128,0.9911544365038908,113.66109938929417,33.78758458318967,0.0,
41,41,20.0,不羹,东不羹在今河南省舞阳县西北，西不羹在今河南省襄城县东南,['东不羹在今河南省舞阳县西北，西不羹在今河南省襄城县东南'],东南,"[['河南', '襄城'], ['河南', '舞阳']]","[{'county': 411025}, {'county': 411121}]",County,['Multiple Matches'],modern,POINT (113.62220628277615 33.70610714392495),['河南省'],"['许昌市', '漯河市']","['舞阳县', '襄城县']",[],[],[],[],[],[],[],70.57892618862594,0.9860150246279152,113.62220628277616,33.70610714392495,0.8758879042075853,东不羹
42,42,21.0,蔡,商王畿内的河南省修武县以西地带,['商王畿内的河南省修武县以西地带'],,"[['河南', '修武']]",[{'county': 410821}],County,[],modern,POINT (113.25353098993187 35.333201968868536),['河南省'],['焦作市'],['修武县'],[],[],[],[],[],[],[],41.84330131676752,0.9917088914495836,113.25353098993187,35.333201968868536,0.0,上蔡
43,43,21.0,上蔡,今河南省上蔡县城关一带,['今河南省上蔡县城关一带'],,"[['河南', '上蔡']]",[{'county': 411722}],County,[],modern,POINT (114.43138227105428 33.31576190188675),['河南省'],['驻马店市'],['上蔡县'],[],[],[],[],[],[],[],59.46750170343979,0.9882167157865313,114.43138227105428,33.31576190188675,0.9999999999999949,上蔡
44,44,21.0,新蔡,河南省新蔡县西,['河南省新蔡县西'],西,"[['河南', '新蔡']]",[{'county': 411729}],County,[],modern,POINT (114.80801318705777 32.8026341611258),['河南省'],['驻马店市'],['新蔡县'],[],[],[],[],[],[],[],53.79125465482472,0.9893414449297402,114.80801318705775,32.8026341611258,0.9999999999999987,新蔡
46,46,22.0,白县,今河南省息县东北,['今河南省息县东北'],东北,"[['息县', '河南']]",[{'LEV1': 'hvd_617'}],['县'],[],historic,POINT (114.72909 32.34243),['河南省'],['信阳市'],['息县'],['息县'],['光州'],['河南'],[],[],[1820],[1820],3.9742886596587694,0.9992125081518194,114.72909,32.34243,0.5041947944005036,﻿白
48,48,22.0,鄢,今河南省漯河市东,['今河南省漯河市东'],东,"[['河南', '漯河']]",[{'prefecture': 4111}],Prefecture,[],modern,POINT (114.0007136693999 33.71990268071875),['河南省'],['漯河市'],['NA'],[],[],[],[],[],[],[],82.05264286710856,0.9837415464972616,114.0007136693999,33.71990268071875,0.0,
49,49,22.0,巢,今安徽省寿县南,['今安徽省寿县南'],南,"[['安徽', '寿']]",[{'county': 340422}],County,[],modern,POINT (116.77973113562749 32.08973873873581),['安徽省'],['淮南市'],['寿县'],[],[],[],[],[],[],[],83.85817003144743,0.983383787399887,116.77973113562749,32.08973873873581,0.0,
50,50,22.0,巢国,今安徽省桐城县以南,['今安徽省桐城县以南'],南,"[['安徽', '桐城']]",[{'county': 340881}],County,[],modern,POINT (116.9452997284169 30.82298027080508),['安徽省'],['安庆市'],['桐城市'],[],[],[],[],[],[],[],65.58566323288215,0.9870044227844668,116.9452997284169,30.82298027080508,0.0,
51,51,22.0,巢邑,今安徽省六安县东北,['今安徽省六安县东北'],东北,"[['安徽', '六安']]",[{'prefecture': 3415}],Prefecture,[],modern,POINT (116.38500765126264 32.11546780411756),['安徽省'],['六安市'],['NA'],[],[],[],[],[],[],[],187.43994125182329,0.9628594099725164,116.38500765126264,32.11546780411756,0.0,
52,52,23.0,巢国,安徽省巢县东北,['安徽省巢县东北'],东北,"[['巢县', '安徽']]",[{'LEV1': 'hvd_1672'}],['县'],[],historic,POINT (117.86485 31.60174),['安徽省'],['合肥市'],['巢湖市'],['巢县'],['庐州府'],['安徽'],[],[],[1820],[1820],4.394715405972038,0.9991292020148396,117.86485,31.60174,0.08948554704311229,﻿居巢
53,53,23.0,钟离,安徽省凤阳县东北,['安徽省凤阳县东北'],东北,"[['安徽', '凤阳']]",[{'county': 341126}],County,[],modern,POINT (117.72595438088499 32.928151831793116),['安徽省'],['滁州市'],['凤阳县'],[],[],[],[],[],[],[],78.72892723219927,0.984400129502248,117.725954380885,32.92815183179312,0.0,
54,54,24.0,钟离,今安徽省凤阳县东北临淮关,['今安徽省凤阳县东北临淮关'],,"[['安徽', '凤阳']]",[{'county': 341126}],County,[],modern,POINT (117.61672510764127 32.84248527073355),['安徽省'],['滁州市'],['凤阳县'],[],[],[],[],[],[],[],78.72892723219927,0.984400129502248,117.61672510764129,32.84248527073355,0.9999999999999998,﻿钟离
55,55,25.0,阴大夫,阴县大夫,['阴县大夫'],,[['阴县']],[{'LEV1': 'hvd_45751'}],['县'],[],historic,POINT (111.62382 32.46271),[],[],[],['阴县'],['南阳郡'],[],[],[],[-202],[553],1.129451024899699,0.999776203101688,111.62382,32.46271,0.0,
56,56,25.0,阴县,湖北省老河口北,['湖北省老河口北'],北,"[['湖北', '老河口']]",[{'county': 420682}],County,[],modern,POINT (111.67881903115388 32.57905262069674),['湖北省'],['襄阳市'],['老河口市'],[],[],[],[],[],[],[],51.66357793365909,0.989763036871586,111.67881903115388,32.57905262069674,0.999999999999992,﻿阴
57,57,26.0,棠县,江苏省六合县西北,['江苏省六合县西北'],西北,"[['江苏', '六合']]",[{'county': 320116}],County,[],modern,POINT (118.71467117795228 32.50284665302389),['江苏省'],['南京市'],['六合区'],[],[],[],[],[],[],[],62.03938569555323,0.9877071056772267,118.71467117795228,32.50284665302389,0.9999999999999971,﻿棠
58,58,27.0,武城,今河南省信阳市东北,['今河南省信阳市东北'],东北,"[['河南', '信阳']]",[{'prefecture': 4115}],Prefecture,[],modern,POINT (115.3846284156569 32.34860379712833),['河南省'],['信阳市'],['NA'],[],[],[],[],[],[],[],217.99362149396168,0.9568053016318638,115.3846284156569,32.34860379712833,0.9999999999999999,﻿武城
59,59,28.0,蓝县,成臼附近,['成臼附近'],,[['成']],[{'county': 621221}],County,[],modern,POINT (105.69706389135146 33.77029862141447),['甘肃省'],['陇南市'],['成县'],[],[],[],[],[],[],[],55.863842145594425,0.9889307687324652,105.69706389135146,33.77029862141447,0.0,﻿蓝
60,60,29.0,苦县,河南省鹿邑县东,['河南省鹿邑县东'],东,"[['河南', '鹿邑']]",[{'county': 411628}],County,[],modern,POINT (115.47993533666437 33.906247185226704),['河南省'],['周口市'],['鹿邑县'],[],[],[],[],[],[],[],60.25245178122582,0.9880611805850348,115.47993533666435,33.906247185226704,0.999999999999992,﻿苦
61,61,29.0,相县,安徽省濉溪县西北,['安徽省濉溪县西北'],西北,"[['安徽', '濉溪']]",[{'county': 340621}],County,[],modern,POINT (116.57220905011505 33.81557706191165),['安徽省'],['淮北市'],['濉溪县'],[],[],[],[],[],[],[],78.00848626887532,0.9845428824410246,116.57220905011503,33.81557706191165,0.0,
62,62,30.0,荀,山西省新绛县东北,['山西省新绛县东北'],东北,"[['山西', '新绛']]",[{'county': 140825}],County,[],modern,POINT (111.20238728567072 35.707798259774584),['山西省'],['运城市'],['新绛县'],[],[],[],[],[],[],[],40.22313184037208,0.9920299225483772,111.20238728567072,35.707798259774584,0.9999999999999974,﻿荀
63,63,30.0,荀叔,山西省新绛县东北,['山西省新绛县东北'],东北,"[['山西', '新绛']]",[{'county': 140825}],County,[],modern,POINT (111.20238728567072 35.707798259774584),['山西省'],['运城市'],['新绛县'],[],[],[],[],[],[],[],40.22313184037208,0.9920299225483772,111.20238728567072,35.707798259774584,0.0,
65,65,31.0,耿,今山西省河津县东南,['今山西省河津县东南'],东南,"[['山西', '河津']]",[{'county': 140882}],County,[],modern,POINT (110.7598338169628 35.58016543415298),['山西省'],['运城市'],['河津市'],[],[],[],[],[],[],[],35.338191807329146,0.9929978568843804,110.7598338169628,35.58016543415298,0.9999999999999949,﻿耿
66,66,31.0,魏,今山西省芮城县北,['今山西省芮城县北'],北,"[['山西', '芮城']]",[{'county': 140830}],County,[],modern,POINT (110.66961129097986 34.77434754112491),['山西省'],['运城市'],['芮城县'],[],[],[],[],[],[],[],65.72258329065103,0.9869772925383828,110.66961129097986,34.77434754112491,0.9999999999999996,魏
67,67,32.0,州,河南省温县东北,['河南省温县东北'],东北,"[['温县', '河南']]",[{'LEV1': 'hvd_562'}],['县'],[],historic,POINT (113.07546 34.93812),['河南省'],['焦作市'],['温县'],['温县'],['怀庆府'],['河南'],[],[],[1820],[1820],3.809706139204343,0.9992451196212696,113.07546,34.93812,0.8594006173772877,州
68,68,32.0,温,河南省温县,['河南省温县'],,"[['温县', '河南']]",[{'LEV1': 'hvd_562'}],['县'],[],historic,POINT (113.07546 34.93812),['河南省'],['焦作市'],['温县'],['温县'],['怀庆府'],['河南'],[],[],[1820],[1820],3.809706139204343,0.9992451196212696,113.07546,34.93812,0.0,
69,69,32.0,原,河南省温县,['河南省温县'],,"[['温县', '河南']]",[{'LEV1': 'hvd_562'}],['县'],[],historic,POINT (113.07546 34.93812),['河南省'],['焦作市'],['温县'],['温县'],['怀庆府'],['河南'],[],[],[1820],[1820],3.809706139204343,0.9992451196212696,113.07546,34.93812,0.0,
70,70,32.0,州,河南省温县东北,['河南省温县东北'],东北,"[['温县', '河南']]",[{'LEV1': 'hvd_562'}],['县'],[],historic,POINT (113.07546 34.93812),['河南省'],['焦作市'],['温县'],['温县'],['怀庆府'],['河南'],[],[],[1820],[1820],3.809706139204343,0.9992451196212696,113.07546,34.93812,0.8594006173772877,州
71,71,33.0,原,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.9999999999999969,﻿原
72,72,33.0,苏忿生,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
73,73,33.0,温,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
74,74,33.0,樊,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
75,75,33.0,隰郕,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
76,76,33.0,楼茅,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
77,77,33.0,向,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
78,78,33.0,盟,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
79,79,33.0,州,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
80,80,33.0,陉,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
81,81,33.0,怀,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
82,82,33.0,先轸,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
83,83,33.0,赵同,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
84,84,33.0,乐大心,河南省济源市西北,['河南省济源市西北'],西北,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.24817757435811 35.17075479973811),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.24817757435812,35.17075479973811,0.0,
85,85,34.0,温,河南省温县西南,['河南省温县西南'],西南,"[['温县', '河南']]",[{'LEV1': 'hvd_562'}],['县'],[],historic,POINT (113.07546 34.93812),['河南省'],['焦作市'],['温县'],['温县'],['怀庆府'],['河南'],[],[],[1820],[1820],3.809706139204343,0.9992451196212696,113.07546,34.93812,0.8334300180279839,﻿温
86,86,35.0,阳樊,河南省济源市西南,['河南省济源市西南'],西南,"[['河南', '济源']]",[{'county': 419001}],County,[],modern,POINT (112.25943466823742 35.03525757751568),['河南省'],['省直辖县级行政单位'],['济源市'],[],[],[],[],[],[],[],66.04869360111029,0.9869126748839832,112.25943466823742,35.03525757751568,0.9999999999999952,﻿阳樊
