NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Datong Xian,大同县,大同縣,113.296387,40.092838,今山西大同市,Xian,县,6,1045,4,1911,6,95011,POINT,95011,FROM_AC,,,,,新建,数据下限
Dingxiang Xian,定襄县,定襄縣,113.181779,40.190263,今山西大同市西北约三十里,Xian,县,6,640,4,681,4,95012,POINT,95012,FROM_FD,,,,,治所迁移,撤销
Pingcheng Xian,平城县,平城縣,113.307537,40.105744,今山西大同市北门外,Xian,县,6,-221,4,13,3,95013,POINT,95013,FROM_FD,,,,,新建,更名
Pingshun Xian,平顺县,平順縣,113.307537,40.105744,今山西大同市北门,Xian,县,6,14,3,22,3,95014,POINT,95014,FROM_FD,,,,,更名,更名
Pingcheng Xian,平城县,平城縣,113.307537,40.105744,今山西大同市北门,Xian,县,6,23,3,212,4,95015,POINT,95015,FROM_FD,,,,,更名,撤销
Pingcheng Xian,平城县,平城縣,113.296387,40.092838,今山西大同市,Xian,县,6,215,4,525,4,95016,POINT,95016,FROM_AC,,,,,新建,撤销
Pingyi Xian,平邑县,平邑縣,113.748863,40.029327,今山西大同市大同县许堡乡许堡村,Xian,县,6,-221,4,13,3,95017,POINT,95017,FROM_AC,,,,,新建,更名
Pinghu Xian,平胡县,平胡縣,113.748863,40.029327,今山西大同市大同县许堡乡许堡村,Xian,县,6,14,3,24,3,95018,POINT,95018,FROM_AC,,,,,更名,撤销
Taiping Xian,太平县,太平縣,113.151292,40.097001,今山西大同市西三十里,Xian,县,6,556,4,576,4,95019,POINT,95019,FROM_FD,,,,,新建,更名
Yunzhong Xian,云中县,雲中縣,113.151292,40.097001,今山西大同市西三十里,Xian,县,6,577,4,580,4,95020,POINT,95020,FROM_FD,,,,,更名,更名
Yunnei Xian,云内县,雲內縣,113.151292,40.097001,今山西大同市西三十里,Xian,县,6,581,4,624,4,95021,POINT,95021,FROM_FD,,,,,更名,撤销
Xuande Xian,宣德县,宣德縣,113.111343,40.371845,今山西大同市新荣区拒墙堡乡三墙堡西侧,Xian,县,6,1019,4,1167,4,95022,POINT,95022,FROM_FD,,,,,新建,更名
Xuanning Xian,宣宁县,宣寧縣,113.111343,40.371845,今山西大同市新荣区拒墙堡乡三墙堡西侧,Xian,县,6,1168,4,1368,4,95023,POINT,95023,FROM_FD,,,,,更名,撤销
Yunzhong Xian,云中县,雲中縣,113.296387,40.092838,今山西大同市,Xian,县,6,732,4,1264,4,95024,POINT,95024,FROM_AC,,,,,更名,撤销
Zhenlu Wei,镇虏卫,鎮虜衛,113.218689,40.231152,今山西大同市新荣区镇虏堡村,Wei,卫,6,1393,4,1402,4,95025,POINT,95025,FROM_FD,,,,,新建,治所迁移
Zhenlu Wei,镇虏卫,鎮虜衛,113.218689,40.231152,今山西大同市新荣区镇虏堡村,Wei,卫,6,1426,4,1448,4,95026,POINT,95026,FROM_FD,,,,,治所迁移,治所迁移
Guangling Xian,广灵县,廣靈縣,114.276054,39.763554,今山西广灵县城,Xian,县,6,1125,4,1911,4,95027,POINT,95027,FROM_AC,,,,,更名,数据下限
Guangling Xian,广陵县,廣陵縣,114.276054,39.763554,今山西广灵县城,Xian,县,6,924,4,1124,4,95028,POINT,95028,FROM_AC,,,,,新建,更名
Pingshu Xian,平舒县,平舒縣,114.172462,39.733494,今山西大同市广灵县作疃乡百疃南堡村西南,Xian,县,6,-221,4,13,3,95029,POINT,95029,FROM_FD,,,,,新建,更名
Pingbao Xian,平葆县,平葆縣,114.172462,39.733494,今山西大同市广灵县作疃乡百疃南堡村西南,Xian,县,6,14,3,22,3,95030,POINT,95030,FROM_FD,,,,,更名,更名
Pingshu Xian,平舒县,平舒縣,114.172462,39.733494,今山西大同市广灵县作疃乡百疃南堡村西南,Xian,县,6,23,4,525,4,95031,POINT,95031,FROM_FD,,,,,更名,撤销
Pingshu Xian,平舒县,平舒縣,114.172462,39.733494,今山西大同市广灵县作疃乡百疃南堡村西南,Xian,县,6,535,4,555,4,95032,POINT,95032,FROM_FD,,,,,新建,撤销
Banshi Xian,班氏县,班氏縣,113.390366,39.844845,今山西朔州市怀仁县马辛庄乡吉家坡村西50米,Xian,县,6,-221,4,13,3,95033,POINT,95033,FROM_FD,,,,,新建,更名
Banfu Xian,班副县,班副縣,113.390366,39.844845,今山西朔州市怀仁县马辛庄乡吉家坡村西50米,Xian,县,6,14,3,22,3,95034,POINT,95034,FROM_FD,,,,,更名,更名
Banshi Xian,班氏县,班氏縣,113.390366,39.844845,今山西朔州市怀仁县马辛庄乡吉家坡村西50米,Xian,县,6,23,3,212,4,95035,POINT,95035,FROM_FD,,,,,更名,撤销
Huairen Xian,怀仁县,懷仁縣,113.103211,39.820141,今山西怀仁县城,Xian,县,6,936,4,1213,4,95036,POINT,95036,FROM_AC,,,,,新建,更名
Huairen Xian,怀仁县,懷仁縣,113.103211,39.820141,今山西怀仁县城,Xian,县,6,1288,4,1911,6,95037,POINT,95037,FROM_AC,,,,,更名,数据下限
Yun Zhou,云州,雲州,113.103211,39.820141,今山西怀仁县城,Zhou,州,6,1214,4,1287,4,95038,POINT,95038,FROM_AC,,,,,更名,更名
Guo Xian,崞县,崞縣,113.567261,39.707035,今山西浑源县南榆林乡毕村,Xian,县,6,-221,4,13,3,95039,POINT,95039,FROM_FD,,,,,新建,更名
Guozhang Xian,崞张县,崞張縣,113.567261,39.707035,今山西浑源县南榆林乡毕村,Xian,县,6,14,3,22,3,95040,POINT,95040,FROM_FD,,,,,更名,更名
Guo Xian,崞县,崞縣,113.567261,39.707035,今山西浑源县南榆林乡毕村,Xian,县,6,23,3,212,4,95041,POINT,95041,FROM_FD,,,,,更名,更名
Guo Xian,崞县,崞縣,113.567261,39.707035,今山西浑源县南榆林乡毕村,Xian,县,6,265,4,396,4,95042,POINT,95042,FROM_FD,,,,,新建,更名
Guoshan Xian,崞山县,崞山縣,113.567261,39.707035,今山西浑源县南榆林乡毕村,Xian,县,6,397,4,534,4,95043,POINT,95043,FROM_FD,,,,,更名,治所迁移
Hunyuan Xian,浑源县,渾源縣,113.567261,39.707035,今山西浑源县南榆林乡毕村,Xian,县,6,618,3,925,3,95044,POINT,95044,FROM_FD,,,,,新建,更名和治所迁移
Hunyuan Xian,浑源县,渾源縣,113.684898,39.696335,今山西大同市浑源县城,Xian,县,6,937,4,1246,4,95045,POINT,95045,FROM_AC,,,,,更名,更名
Hengyin Xian,恒阴县,恒陰縣,113.684898,39.696335,今山西大同市浑源县城,Xian,县,6,1247,4,1266,4,95046,POINT,95046,FROM_AC,,,,,更名,撤销
Hunyuan Xian,浑元县,渾元縣,113.684898,39.696335,今山西大同市浑源县城,Xian,县,6,926,4,936,4,95047,POINT,95047,FROM_AC,,,,,更名和治所迁移,更名
Hunyuan Zhou,浑源州,渾源州,113.684898,39.696335,今山西浑源县城,Zhou,州,6,1214,4,1911,6,95048,POINT,95048,FROM_AC,,,,,新建,数据下限
Shaquan Xian,莎泉县,莎泉縣,113.902076,39.385819,今山西浑源县王庄镇下牛还村,Xian,县,6,436,4,555,4,95049,POINT,95049,FROM_FD,,,,,新建,撤销
Lingqiu Xian,灵丘县,靈丘縣,114.267246,39.428994,今山西大同市灵丘县武灵镇麻嘴村,Xian,县,6,-221,4,51,4,95050,POINT,95050,FROM_FD,,,,,新建,撤销
Lingqiu Xian,灵丘县,靈丘縣,114.267246,39.428994,今山西大同市灵丘县武灵镇麻嘴村,Xian,县,6,398,4,622,4,95051,POINT,95051,FROM_FD,,,,,新建,治所迁移
Lingqiu Xian,灵丘县,靈丘縣,114.229218,39.437744,今山西大同市灵丘县城,Xian,县,6,632,4,1213,4,95052,POINT,95052,FROM_AC,,,,,新建,更名
Cheng Zhou,成州,成州,114.229218,39.437744,今山西大同市灵丘县城,Zhou,州,6,1214,4,1246,4,95053,POINT,95053,FROM_AC,,,,,更名,更名
Lingqiu Xian,灵丘县,靈丘縣,114.229218,39.437744,今山西大同市灵丘县城,Xian,县,6,1247,4,1911,6,95054,POINT,95054,FROM_AC,,,,,更名,数据下限
Dachang Xian,大昌县,大昌縣,114.144362,39.371344,今山西大同市灵丘县南,Xian,县,6,562,4,582,4,95055,POINT,95055,FROM_FD,,,,,新建,撤销
Heyin Xian,河阴县,河陰縣,112.942734,39.440437,今山西朔州市山阴县山阴城镇,Xian,县,6,937,4,1166,4,95057,POINT,95057,FROM_AC,,,,,新建,更名
Shanyin Xian,山阴县,山陰縣,112.942734,39.440437,今山西朔州市山阴县山阴城镇,Xian,县,6,1167,4,1213,4,95058,POINT,95058,FROM_AC,,,,,更名,更名和治所迁移
Shanyin Xian,山阴县,山陰縣,112.942734,39.440437,今山西山阴县山阴城镇,Xian,县,6,1266,4,1911,6,95059,POINT,95059,FROM_AC,,,,,新建,数据下限
Zhong Zhou,忠州,忠州,112.931877,39.369396,今山西山阴县山阴城镇故驿村,Zhou,州,6,1214,4,1264,4,95060,POINT,95060,FROM_FD,,,,,更名和治所迁移,撤销
Yingtao Xian,浧陶县,浧陶縣,112.972832,39.441593,今山西朔州市山阴县古城镇王庄村西北400米,Xian,县,6,-201,4,309,4,95061,POINT,95061,FROM_FD,,,,,新建,撤销
Yanling Xian,延陵县,延陵縣,114.078857,40.674346,今山西大同市天镇县新平堡古城村,Xian,县,6,-221,4,51,4,95062,POINT,95062,FROM_FD,,,,,新建,撤销
Tiancheng Xian,天成县,天成縣,114.082047,40.415791,今山西天镇县城,Xian,县,6,1044,4,1370,4,95063,POINT,95063,FROM_AC,,,,,新建,撤销
Zhenlu Wei,镇虏卫,鎮虜衛,114.082047,40.415791,今山西天镇县城,Wei,卫,6,1449,4,1649,4,95064,POINT,95064,FROM_AC,,,,,治所迁移,撤销
Tiancheng Wei,天成卫,天成衛,114.082047,40.415791,今山西天镇县城,Wei,卫,6,1393,4,1650,4,95065,POINT,95065,FROM_AC,,,,,新建,更名
Tianzhen Wei,天镇卫,天鎮衛,114.082047,40.415791,今山西天镇县城,Wei,卫,6,1651,4,1724,4,95066,POINT,95066,FROM_AC,,,,,更名,更名
Tianzhen Xian,天镇县,天鎮縣,114.082047,40.415791,今山西天镇县城,Xian,县,6,1725,4,1911,4,95067,POINT,95067,FROM_AC,,,,,更名,数据下限
Yishi Xian,狋氏县,狋氏縣,113.851684,39.955109,今山西大同市阳高县友宰镇前贵仁村,Xian,县,6,-206,4,13,3,95068,POINT,95068,FROM_FD,,,,,新建,更名
Yiju Xian,狋聚县,狋聚縣,113.851684,39.955109,今山西大同市阳高县友宰镇前贵仁村,Xian,县,6,14,3,22,3,95069,POINT,95069,FROM_FD,,,,,更名,更名
Yishi Xian,狋氏县,狋氏縣,113.851684,39.955109,今山西大同市阳高县友宰镇前贵仁村,Xian,县,6,23,3,265,4,95070,POINT,95070,FROM_FD,,,,,更名,撤销
Yanghe Wei,阳和卫,陽和衛,113.763381,40.352929,今山西阳高县龙泉镇东关村,Wei,卫,6,1393,4,1645,4,95071,POINT,95071,FROM_FD,,,,,新建,更名和迁移治所
Yanggao Wei,阳高卫,陽高衛,113.75209,40.353703,今山西阳高县城,Wei,卫,6,1646,4,1647,4,95072,POINT,95072,FROM_AC,,,,,更名和迁移治所,更名
Yanggao Wei,阳高卫,陽高衛,113.75209,40.353703,今山西阳高县,Wei,卫,6,1651,4,1724,4,95073,POINT,95073,FROM_AC,,,,,更名,更名
Yanggao Xian,阳高县,陽高縣,113.75209,40.353703,今山西阳高县城,Xian,县,6,1725,4,1911,6,95074,POINT,95074,FROM_AC,,,,,更名,数据下限
Gaoliu Xian,高柳县,高柳縣,113.75209,40.353703,今山西大同市阳高县城,Xian,县,6,-221,4,212,4,95075,POINT,95075,FROM_AC,,,,,新建,撤销
Gaoliu Xian,高柳县,高柳縣,113.75209,40.353703,今山西大同市阳高县城,Xian,县,6,265,4,534,4,95076,POINT,95076,FROM_AC,,,,,新建,治所迁移
Daoren Xian,道人县,道人縣,113.968287,40.119073,今山西大同市阳高县古城镇古城村南,Xian,县,6,-221,4,13,3,95077,POINT,95077,FROM_FD,,,,,新建,更名
Daoren Xian,道仁县,道仁縣,113.968287,40.119073,今山西大同市阳高县古城镇古城村南,Xian,县,6,14,3,22,3,95078,POINT,95078,FROM_FD,,,,,更名,更名
Daoren Xian,道人县,道人縣,113.968287,40.119073,今山西大同市阳高县古城镇古城村南,Xian,县,6,23,3,212,4,95079,POINT,95079,FROM_FD,,,,,更名,撤销
Changqing Xian,长青县,長青縣,113.818184,40.286655,今山西阳高县大白登村,Xian,县,6,936,4,1166,4,95080,POINT,95080,FROM_AC,,,,,新建,更名
Baideng Xian,白登县,白登縣,113.818184,40.286655,今山西阳高县大白登镇大白登村,Xian,县,6,1167,4,1264,4,95081,POINT,95081,FROM_AC,,,,,更名,撤销
Canhe Xian,参合县,參合縣,113.880197,40.401162,今大同市阳高县罗文皂镇莫家堡村东约1.5千,Xian,县,6,-212,4,51,4,95082,POINT,95082,FROM_FD,,,,,新建,撤销
Baideng Xian,白登县,白登縣,113.818184,40.286655,今山西阳高县大白登村,Xian,县,6,1266,4,1367,4,95083,POINT,95083,FROM_AC,,,,,新建,撤销
Fanzhi Xian,繁畤县,繁畤縣,113.243694,39.561548,今山西朔州市应县镇子梁乡城下庄村东北,Xian,县,6,-221,4,13,3,95084,POINT,95084,FROM_FD,,,,,新建,更名
Dangyao Xian,当要县,當要縣,113.243694,39.561548,今山西朔州市应县镇子梁乡城下庄村东,Xian,县,6,14,3,22,3,95085,POINT,95085,FROM_FD,,,,,更名,更名
Fanzhi Xian,繁畤县,繁畤縣,113.243694,39.561548,今山西朔州市应县镇子梁乡城下庄村东,Xian,县,6,23,3,212,4,95086,POINT,95086,FROM_FD,,,,,更名,撤销
Fanzhi Xian,繁畤县,繁畤縣,113.567261,39.707035,今山西浑源县南榆林乡毕村,Xian,县,6,265,4,396,4,95087,POINT,95087,FROM_FD,,,,,新建,治所迁移
Jincheng Xian,金城县,金城縣,113.243694,39.561548,今山西朔州市应县镇子梁乡城下庄村,Xian,县,6,621,4,877,4,95088,POINT,95088,FROM_FD,,,,,新建,治所迁移
Jincheng Xian,金城县,金城縣,113.182381,39.560173,今山西应县县城,Xian,县,6,878,4,1367,4,95089,POINT,95089,FROM_AC,,,,,治所迁移,撤销
Ying Zhou,应州,應州,113.182381,39.560173,今山西应县县城,Zhou,州,6,1730,4,1911,6,95090,POINT,95090,FROM_AC,,,,,新建,数据下限
Juyang Xian,剧阳县,劇陽縣,113.310241,39.663681,今山西朔州市应县义井乡边耀村东约1.5千米,Xian,县,6,-221,4,13,3,95091,POINT,95091,FROM_FD,,,,,新建,更名
Shanyang Xian,善阳县,善陽縣,113.310241,39.663681,今山西朔州市应县义井乡边耀村东约1.5千米,Xian,县,6,14,3,22,3,95092,POINT,95092,FROM_FD,,,,,更名,更名
Juyang Xian,剧阳县,劇陽縣,113.310241,39.663681,今山西朔州市应县义井乡边耀村东约1.5千米,Xian,县,6,23,3,264,4,95093,POINT,95093,FROM_FD,,,,,更名,撤销
Guangwu Xian,广武县,廣武縣,112.890678,39.034309,今山西代县古城村,Xian,县,6,-204,4,13,3,95094,POINT,95094,FROM_FD,,,,,新建,更名
Xinhuan Xian,信桓县,信桓縣,112.890678,39.034309,今山西代县阳明堡镇古城村,Xian,县,6,14,3,22,3,95095,POINT,95095,FROM_FD,,,,,更名,更名
Guangwu Xian,广武县,廣武縣,112.890678,39.034309,今山西代县古城村,Xian,县,6,25,4,515,4,95096,POINT,95096,FROM_FD,,,,,更名,治所迁移
Guangwu Xian,广武县,廣武縣,112.949043,39.060391,今山西代县县城,Xian,县,6,516,4,597,4,95097,POINT,95097,FROM_AC,,,,,治所迁移,更名
Yanmen Xian,雁门县,雁門縣,112.949043,39.060391,今山西代县县城,Xian,县,6,598,4,1263,4,0,POINT,200002,FROM_AC,,,,,更名,更名
Dai Xian,代县,代縣,112.949043,39.060391,今山西代县县城,Xian,县,6,1369,4,1374,4,95099,POINT,95099,FROM_AC,,,,,更名,更名
Dai Zhou,代州,代州,112.949043,39.060391,今山西代县县城,Zhilizhou,直隶州,6,1264,,1368,,0,POINT,200003,FROM_AC,,,,,,
Junren Xian,葰人县,葰人縣,113.311678,39.194142,今山西繁畤县圣水头村,Xian,县,6,-247,4,25,3,95102,POINT,95102,FROM_FD,,,,,新建,撤销
Junren Xian,葰人县,葰人縣,113.311678,39.194142,今山西繁畤县圣水头村,Xian,县,6,265,4,316,4,95103,POINT,95103,FROM_FD,,,,,新建,撤销
Lucheng Xian,卤城县,鹵城縣,113.777092,39.294864,今山西繁峙县大营镇小庄村,Xian,县,6,-221,4,13,3,95104,POINT,95104,FROM_FD,,,,,新建,更名
Ludun Xian,鲁盾县,魯盾縣,113.777092,39.294864,今山西繁峙县大营镇小庄村,Xian,县,6,14,3,22,3,95105,POINT,95105,FROM_FD,,,,,更名,更名
Lucheng Xian,卤城县,鹵城縣,113.777092,39.294864,今山西繁峙县大营镇小庄村,Xian,县,6,23,3,214,4,95106,POINT,95106,FROM_FD,,,,,更名,撤销
Fanzhi Xian,繁畤县,繁畤縣,113.571831,39.276608,今山西繁峙县代堡村,Xian,县,6,598,4,615,4,95107,POINT,95107,FROM_FD,,,,,新建,治所迁移
Fanzhi Xian,繁畤县,繁畤縣,113.293653,39.193151,今山西繁峙县城东,Xian,县,6,616,4,698,4,95108,POINT,95108,FROM_FD,,,,,治所迁移,治所迁移
Fanzhi Xian,繁畤县,繁畤縣,113.285355,39.176876,今山西繁峙县杏园乡南关村,Xian,县,6,699,4,1214,4,95109,POINT,95109,FROM_FD,,,,,治所迁移,更名
Jian Zhou,坚州,堅州,113.285355,39.176876,今山西繁峙县杏园乡南关村,Zhou,州,6,1215,4,1368,4,95110,POINT,95110,FROM_FD,,,,,更名,更名
Fanzhi Xian,繁峙县,繁峙縣,113.285355,39.176876,今山西繁峙县杏园乡南关村,Xian,县,6,1369,4,1574,4,95111,POINT,95111,FROM_FD,,,,,更名,治所迁移
Fanzhi Xian,繁峙县,繁峙縣,113.293653,39.193151,今山西繁峙县东义村,Xian,县,6,1467,4,1586,4,95112,POINT,95112,FROM_FD,,,,,治所迁移,治所迁移
Fanzhi Xian,繁峙县,繁峙縣,113.271812,39.190063,今山西繁峙县城,Xian,县,6,1587,4,1911,6,95113,POINT,95113,FROM_AC,,,,,治所迁移,数据下限
Pingkou Xian,平寇县,平寇縣,112.751518,38.88332,今山西原平市崞阳镇,Xian,县,6,590,4,605,4,95114,POINT,95114,FROM_AC,,,,,治所迁移,更名
Guo Xian,崞县,崞縣,112.751518,38.88332,今山西原平市崞阳镇,Xian,县,6,606,4,1218,4,95115,POINT,95115,FROM_AC,,,,,更名,更名
Guo Zhou,崞州,崞州,112.751518,38.88332,今山西原平市崞阳镇,Zhou,州,6,1219,4,1368,4,95116,POINT,95116,FROM_AC,,,,,更名,更名
Guo Xian,崞县,崞縣,112.751518,38.88332,今山西原平市崞阳镇,Xian,县,6,1369,4,1911,4,95117,POINT,95117,FROM_AC,,,,,更名,数据下限
Shicheng Xian,石城县,石城縣,112.751518,38.88332,今山西原平市崞阳镇,Xian,县,6,410,4,589,4,95118,POINT,95118,FROM_AC,,,,,新建,撤销
Tanglin Xian,唐林县,唐林縣,112.727215,38.628651,今山西原平市唐林冈村,Xian,县,6,710,4,907,4,95119,POINT,95119,FROM_FD,,,,,更名,更名
Wuyan Xian,武延县,武延縣,112.727215,38.628651,今山西原平市唐林岗村,Xian,县,6,695,4,709,4,95120,POINT,95120,FROM_FD,,,,,新建,更名
Bailu Xian,白鹿县,白鹿縣,112.727215,38.628651,今山西原平市唐林冈村,Xian,县,6,908,4,923,4,95121,POINT,95121,FROM_FD,,,,,更名,更名
Tanglin Xian,唐林县,唐林縣,112.727215,38.628651,今山西原平市唐林冈村,Xian,县,6,924,4,935,4,95122,POINT,95122,FROM_FD,,,,,更名,更名
Guangwu Xian,广武县,廣武縣,112.727215,38.628651,今山西原平市唐林冈村,Xian,县,6,936,4,947,4,95123,POINT,95123,FROM_FD,,,,,更名,更名
Tanglin Xian,唐林县,唐林縣,112.727215,38.628651,今山西原平市唐林冈村,Xian,县,6,948,4,1004,4,95124,POINT,95124,FROM_FD,,,,,更名,撤销
Yunzhong Xian,云中县,雲中縣,112.579529,38.693287,今山西原平市楼板寨村,Xian,县,6,215,4,446,4,95125,POINT,95125,FROM_AC,,,,,新建,撤销
Yuanping Xian,原平县,原平縣,112.698708,38.728821,今山西原平市区,Xian,县,6,-247,4,555,4,95126,POINT,95126,FROM_AC,,,,,新建,撤销
Tongchuan Xian,铜川县,銅川縣,112.981415,38.710762,今山西原平市东社乡城头村,Xian,县,6,581,4,604,4,95127,POINT,95127,FROM_FD,,,,,新建,撤销
Huaihua Xian,怀化县,懷化縣,112.708067,38.693577,今山西原平市怀化村,Xian,县,6,631,4,650,4,95128,POINT,95128,FROM_FD,,,,,新建,撤销
Guoshan Xian,崞山县,崞山縣,112.751518,38.88332,今山西原平市崞阳镇,Xian,县,6,535,4,579,4,95129,POINT,95129,FROM_AC,,,,,治所迁移,撤销
Luyi Xian,驴夷县,驢夷縣,113.259209,38.719177,今山西五台县城,Xian,县,6,486,4,605,4,95130,POINT,95130,FROM_AC,,,,,新建,更名
Wutai Xian,五台县,五臺縣,113.259209,38.719177,今山西五台县城,Xian,县,6,606,4,1216,4,95131,POINT,95131,FROM_AC,,,,,更名,更名
Tai Zhou,台州,台州,113.259209,38.719177,今山西五台县城,Zhou,州,6,1216,4,1369,4,95132,POINT,95132,FROM_AC,,,,,更名,更名
Wutai Xian,五台县,五臺縣,113.259209,38.719177,今山西五台县城,Xian,县,6,1369,4,1911,4,95133,POINT,95133,FROM_AC,,,,,更名,数据下限
Lvti Xian,虑虒县,慮虒縣,113.265759,38.725698,今山西五台县台城镇古城村东北约1千米,Xian,县,6,-247,4,264,4,95134,POINT,95134,FROM_FD,,,,,新建,撤销
Zitong Xian,兹同县,茲同縣,111.813717,37.205946,今山西汾阳县西南巩村,Xian,县,6,14,3,22,3,95137,POINT,95137,FROM_FD,,,,,更名,更名
Shixingjun,什星军,什星軍,111.77903,37.263405,今山西汾阳市,Xian,县,6,437,4,483,4,95139,POINT,95139,FROM_AC,,,,,更名,更名
Xicheng Xian,隰城县,隰城縣,111.77903,37.263405,今山西汾阳市,Xian,县,6,484,4,759,4,95140,POINT,95140,FROM_AC,,,,,更名,更名
Xihe Xian,西河县,西河縣,111.77903,37.263405,今山西汾阳市,Xian,县,6,760,4,1368,4,95141,POINT,95141,FROM_AC,,,,,更名,撤销
Fenyang Xian,汾阳县,汾陽縣,111.77903,37.263405,今山西汾阳市,Xian,县,6,1595,4,1911,6,95144,POINT,95144,FROM_AC,,,,,新建,数据下限
Wu Xian,邬县,鄔縣,112.030983,37.102703,今山西介休县邬城店村,Xian,县,6,-247,4,316,4,95145,POINT,95145,FROM_FD,,,,,新建,撤销
Wu Xian,邬县,鄔縣,112.030983,37.102703,今山西介休县邬城店村,Xian,县,6,495,4,555,4,95146,POINT,95146,FROM_FD,,,,,新建,撤销
Pingchang Xian,平昌县,平昌縣,111.912163,37.026474,今山西介休市区,Xian,县,6,542,4,597,4,95147,POINT,95147,FROM_AC,,,,,新建,更名
Jiexiu Xian,介休县,介休縣,111.912163,37.026474,今山西介休市区,Xian,县,6,598,4,1911,4,95148,POINT,95148,FROM_AC,,,,,更名,数据下限
Jiexiu Xian,介休县,介休縣,112.018577,37.035587,今山西介休市洪山镇,Xian,县,6,484,4,577,4,95149,POINT,95149,FROM_AC,,,,,新建,撤销
Jiexiu Xian,界休县,界休縣,111.912163,37.026474,今山西介休市区,Xian,县,6,-247,4,13,3,95150,POINT,95150,FROM_AC,,,,,新建,更名
Jiemei Xian,界美县,界美縣,111.912163,37.026474,今山西介休市区,Xian,县,6,14,3,22,3,95151,POINT,95151,FROM_AC,,,,,更名,更名
Jiexiu Xian,界休县,界休縣,111.912163,37.026474,今山西介休市区,Xian,县,6,23,3,264,4,95152,POINT,95152,FROM_AC,,,,,更名,更名
Jiexiu Xian,介休县,介休縣,111.912163,37.026474,今山西介休市区,Xian,县,6,265,4,313,4,95153,POINT,95153,FROM_AC,,,,,更名,撤销
Wutu Xian,乌突县,烏突縣,111.052345,38.147018,今山西临县北故县村,Xian,县,6,579,4,580,4,95154,POINT,95154,FROM_FD,,,,,新建,更名
Taihe Xian,太和县,太和縣,111.052345,38.147018,今山西临县北故县村,Xian,县,6,581,4,619,4,95155,POINT,95155,FROM_FD,,,,,更名,更名
Linquan Xian,临泉县,臨泉縣,111.052345,38.147018,今山西临县北故县村,Xian,县,6,620,4,1122,4,95156,POINT,95156,FROM_FD,,,,,更名,更名
Linshui Xian,临水县,臨水縣,111.052345,38.147018,今山西临县北故县村,Xian,县,6,1123,4,1260,4,95157,POINT,95157,FROM_FD,,,,,更名,更名
Linquan Xian,临泉县,臨泉縣,111.052345,38.147018,今山西临县北故县村,Xian,县,6,1261,4,1261,4,95158,POINT,95158,FROM_FD,,,,,更名,更名
Lin Zhou,临州,臨州,111.052345,38.147018,今山西临县北故县村,Zhou,州,6,1262,4,1368,,95159,POINT,95159,FROM_FD,,,,,更名,更名
Lin Xian,临县,臨縣,110.983116,37.952896,今山西临县,Xian,县,6,1369,4,1911,6,95160,POINT,95160,FROM_AC,,,,,更名,数据下限
