id,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMPLR,CHECKER,END_DATE,BEG_CHG_TY,END_CHG_TY
26,Jinle Jun,静乐军,靜樂軍,111.940397,38.357685,今山西静乐县城,Jun,军,3,1000,4,1002,4,0,POINT,210017,FROM_AC,王尚义王杰,,,,新建,撤销
27,Silu Jun,肆卢郡,肆卢郡,112.688578,38.450771,今山西忻州市忻府区奇村镇奇村,Jun,郡,3,398,4,446,4,0,POINT,210018,FROM_FD,王尚义王杰,,,,新建,撤销
28,Leping Jun,乐平郡,樂平郡,113.574183,37.595652,今山西昔阳县掌城村,Jun,郡,3,215,4,447,4,0,POINT,210019,FROM_FD,王尚义王杰,,,,新建,撤销
29,Leping Jun,乐平郡,樂平郡,113.574183,37.595652,今山西昔阳县掌城村,Jun,郡,3,556,4,582,4,0,POINT,210020,FROM_FD,王尚义王杰,,,,治所迁移,撤销
30,Liao Zhou,辽州,遼州,113.697126,37.608366,今山西昔阳县城,Zhou,州,3,596,4,605,4,110070,POINT,212410,FROM_AC,王尚义王杰,,,,新建,撤销
31,Liao Zhou,辽州,遼州,113.697126,37.608366,今山西昔阳县城,Zhou,州,3,620,4,622,4,94189,POINT,94189,FROM_AC,王尚义王杰,,,,新建,治所迁移
32,Shou Zhou,受州,受州,112.712373,38.178207,今山西阳曲县大盂镇,Zhou,州,3,620,4,622,4,94187,POINT,94187,FROM_AC,王尚义王杰,,,,新建,治所迁移
33,Shou Zhou,受州,受州,112.071819,37.428989,今山西阳曲县大盂镇,Zhou,州,3,623,4,624,4,0,POINT,210021,FROM_FD,王尚义王杰,,,,治所迁移,治所迁移
34,Shou Zhou,受州,受州,113.564793,37.85463,今山西阳曲县大盂镇,Zhou,州,3,625,4,633,4,0,POINT,210022,FROM_FD,王尚义王杰,,,,治所迁移,撤销
35,Pingding Jun,平定军,平定軍,113.627727,37.721871,今山西平定县新城村,Jun,军,3,977,4,978,4,0,POINT,210023,FROM_FD,王尚义王杰,,,,新建,治所迁移
36,Pingding Jun,平定军,平定軍,113.622594,37.802043,今山西平定县城,Jun,军,3,979,4,1181,4,0,POINT,210024,FROM_AC,王尚义王杰,,,,治所迁移,更名
37,Pingding Zhou,平定州,平定州,113.622594,37.802043,今山西平定县城,Zhou,州,3,1182,4,1217,4,94244,POINT,94244,FROM_AC,王尚义王杰,,,,更名,撤销
38,Pingding Zhou,平定州,平定州,113.622594,37.802043,今山西平定县城关镇,Zhilizhou,直隶州,3,1724,4,1911,6,94022,POINT,94022,FROM_AC,王尚义王杰,,,,新建,数据下限
39,Pingjin Jun,平晋军,平晋軍,113.697126,37.608366,今山西昔阳县城,Jun,军,3,963,4,978,4,0,POINT,210025,FROM_AC,王尚义王杰,,,,新建,撤销
40,Taiyuan Jun,太原郡,太原郡,112.488755,37.73958,今山西太原市晋源区古城营村,Jun,郡,3,-247,4,219,4,0,POINT,210026,FROM_FD,王尚义王杰,,,,新建,更名
41,Taiyuan Guo,太原国,太原國,112.488755,37.73958,今山西太原市晋源区古城营村,Guo,国,3,220,4,395,4,0,POINT,210027,FROM_FD,王尚义王杰,,,,更名,更名
42,Taiyuan Jun,太原郡,太原郡,112.488755,37.73958,今山西太原市晋源区古城营村,Jun,郡,3,396,4,583,4,0,POINT,210028,FROM_FD,王尚义王杰,,,,更名,撤销
43,Taiyuan Jun,太原郡,太原郡,112.488755,37.73958,今山西太原市晋源区古城营村,Jun,郡,3,607,4,617,4,94184,POINT,94184,FROM_FD,王尚义王杰,,,,更名,更名
44,Bing Zhou,并州,並州,112.488755,37.73958,今山西太原市晋源区古城营村,Zhou,州,3,618,4,722,4,0,POINT,210029,FROM_FD,王尚义王杰,,,,更名,更名
45,Taiyuan Fu,太原府,太原府,112.565127,37.873765,今山西太原市晋源区古城营村,Fu,府,3,723,4,978,4,94213,POINT,94213,FROM_AC,王尚义王杰,,,,更名,更名和治所迁移
46,Bing Zhou,并州,並州,112.744986,37.678474,今山西晋中市榆次区,Zhou,州,3,979,4,981,4,0,POINT,210030,FROM_AC,王尚义王杰,,,,更名和治所迁移,治所迁移
47,Bing Zhou,并州,並州,112.565127,37.873765,今山西晋中市榆次区,Zhou,州,3,982,4,1058,4,0,POINT,210031,FROM_AC,王尚义王杰,,,,治所迁移,更名
48,Taiyuan Fu,太原府,太原府,112.495363,37.8639,今山西太原市,Fu,府,3,1059,4,1217,4,94242,POINT,94242,FROM_FD,王尚义王杰,,,,更名,更名
49,Taiyuan Lu,太原路,太原路,112.565127,37.873765,今山西晋中市榆次区,Lu,路,3,1218,4,1304,4,0,POINT,210032,FROM_AC,王尚义王杰,,,,更名,更名
50,Jining Lu,冀宁路,冀甯路,112.565127,37.873765,今山西晋中市榆次区,Lu,路,3,1305,4,1367,4,0,POINT,210033,FROM_AC,王尚义王杰,,,,更名,更名
51,Taiyuan Fu,太原府,太原府,112.495363,37.8639,今山西太原市,Fu,府,3,1368,4,1911,6,94021,POINT,94021,FROM_FD,王尚义王杰,,,,更名,数据下限
52,Bing Zhou,并州,並州,112.488755,37.73958,今山西太原市晋源区古城营村,Zhou,州,3,220,4,606,4,0,POINT,210034,FROM_FD,王尚义王杰,,,,新建,更名
53,Kelan Jun,岢岚军,岢嵐軍,111.570235,38.704008,今山西岢岚县,Jun,军,3,980,4,1181,4,115504,POINT,212202,FROM_AC,王尚义王杰,,,,新建,更名
54,Kelan Zhou,岢岚州,岢嵐州,111.570235,38.704008,今山西岢岚县,Zhou,州,3,1182,4,1220,4,115505,POINT,212203,FROM_AC,王尚义王杰,,,,更名,撤销
55,Lan Zhou,岚州,嵐州,111.693512,38.390973,今山西岚县北岚城镇,Zhou,州,3,623,4,741,4,94214,POINT,94214,FROM_AC,王尚义王杰,,,,更名,更名
56,Loufan Jun,楼烦郡,樓煩郡,111.693512,38.390973,今山西岚县北岚城镇,Jun,郡,3,742,4,757,4,94217,POINT,94217,FROM_AC,王尚义王杰,,,,更名,更名
57,Lan Zhou,岚州,嵐州,111.693512,38.390973,今山西岚县北岚城镇,Zhou,州,3,758,4,1264,4,0,POINT,210035,FROM_AC,王尚义王杰,,,,更名,撤销
58,Tai Zhou,太州,太州,112.553063,37.425509,今山西太谷县城,Zhou,州,3,620,4,622,4,94188,POINT,94188,FROM_AC,王尚义王杰,,,,新建,撤销
59,Ze Zhou,帻州,帻州,112.447477,37.342403,今山西祁县团柏村,Zhou,州,3,1216,4,1233,4,0,POINT,210036,FROM_FD,王尚义王杰,,,,新建,撤销
60,Yanmen Jun,雁门郡,雁門郡,112.303273,39.952487,今山西右玉县西南古城村,Jun,郡,3,-221,4,13,4,0,POINT,210037,FROM_FD,王尚义王杰,,,,新建,更名
61,Tiandi Jun,填狄郡,填狄郡,112.303273,39.952487,今山西右玉县西南古城村,Jun,郡,3,14,4,22,4,0,POINT,210038,FROM_FD,王尚义王杰,,,,更名,更名
62,Yanmen Jun,雁门郡,雁門郡,112.303273,39.952487,今山西右玉县西南古城村,Jun,郡,3,23,4,51,4,0,POINT,210039,FROM_FD,王尚义王杰,,,,更名,治所迁移
63,Yanmen Jun,雁门郡,雁門郡,112.727599,39.242339,今山西朔州市朔城区夏关城,Jun,郡,3,52,4,212,4,0,POINT,210040,FROM_FD,王尚义王杰,,,,治所迁移,撤销
64,Yanmen Jun,雁门郡,雁門郡,112.890993,39.034349,今山西代县古城村,Jun,郡,3,221,4,515,4,0,POINT,210041,FROM_FD,王尚义王杰,,,,新建,治所迁移
65,Yanmen Jun,雁门郡,雁門郡,112.94936,39.060431,今山西代县县城,Jun,郡,3,516,4,583,4,0,POINT,210042,FROM_AC,王尚义王杰,,,,治所迁移,撤销
66,Si Zhou,肆州,肆州,112.72437,38.39705,今山西忻州市忻府区解原乡佐城村,Zhou,州,3,446,4,499,4,0,POINT,210043,FROM_FD,王尚义王杰,,,,新建,治所迁移
67,Si Zhou,肆州,肆州,112.731508,38.398588,今山西忻州市区,Zhou,州,3,500,4,578,4,0,POINT,210044,FROM_AC,王尚义王杰,,,,治所迁移,治所迁移
68,Si Zhou,肆州,肆州,112.94936,39.060431,今山西代县县城,Zhou,州,3,579,4,584,4,112914,POINT,212618,FROM_AC,王尚义王杰,,,,治所迁移,更名
69,Dai Zhou,代州,代州,112.94936,39.060431,今山西代县县城,Zhou,州,3,585,4,606,4,110146,POINT,212419,FROM_AC,王尚义王杰,,,,更名,更名
70,Yanmen Jun,雁门郡,雁門郡,112.94936,39.060431,今山西代县县城,Jun,郡,3,607,4,617,4,110218,POINT,212428,FROM_AC,王尚义王杰,,,,更名,更名
71,Dai Zhou,代州,代州,112.94936,39.060431,今山西代县县城,Zhou,州,3,618,4,741,4,0,POINT,210045,FROM_AC,王尚义王杰,,,,更名,更名
72,Yanmen Jun,雁门郡,雁門郡,112.94936,39.060431,今山西代县县城,Jun,郡,3,742,4,757,4,0,POINT,210046,FROM_AC,王尚义王杰,,,,更名,更名
73,Dai Zhou,代州,代州,112.94936,39.060431,今山西代县县城,Zhou,州,3,758,4,1217,4,0,POINT,210047,FROM_AC,王尚义王杰,,,,更名,撤销
74,Dai Zhou,代州,代州,112.94936,39.060431,今山西代县县城,Zhilizhou,直隶州,3,1724,4,1911,6,94024,POINT,94024,FROM_AC,王尚义王杰,,,,新建,数据下限
75,Yongding Jun,永定郡,永定郡,112.751829,38.883356,今山西原平市崞阳镇,Jun,郡,3,543,4,555,4,0,POINT,210048,FROM_AC,王尚义王杰,,,,新建,撤销
76,Wu Zhou,武州,武州,113.293979,39.193193,今山西繁峙县城东,Zhou,州,3,543,4,555,4,0,POINT,210049,FROM_FD,王尚义王杰,,,,新建,更名
77,Beiling Zhou,北灵州,北靈州,113.293979,39.193193,今山西繁峙县城东,Zhou,州,3,556,4,579,4,0,POINT,210050,FROM_FD,王尚义王杰,,,,更名,撤销
78,Kuo Zhou,廓州,廓州,112.751829,38.883356,今山西原平市崞阳镇,Zhou,州,3,543,4,555,4,115511,POINT,212204,FROM_AC,王尚义王杰,,,,新建,更名
79,Beixian Zhou,北显州,北顯州,112.751829,38.883356,今山西原平市崞阳镇,Zhou,州,3,556,4,579,4,0,POINT,210051,FROM_AC,王尚义王杰,,,,更名,撤销
80,Guang'an Jun,广安郡,廣安郡,112.751829,38.883356,今山西原平市崞阳镇,Jun,郡,3,543,4,555,4,0,POINT,210052,FROM_AC,王尚义王杰,,,,新建,撤销
81,Jian'an Jun,建安郡,建安郡,112.751829,38.883356,今山西原平市崞阳镇,Jun,郡,3,543,4,555,4,0,POINT,210053,FROM_AC,王尚义王杰,,,,新建,撤销
82,Qi Jun,齐郡,齊郡,113.293979,39.193193,今山西繁峙县城东,Jun,郡,3,543,4,555,4,0,POINT,210054,FROM_FD,王尚义王杰,,,,新建,撤销
83,Tujing Jun,吐京郡,吐京郡,113.293979,39.193193,今山西繁峙县城东,Jun,郡,3,550,4,555,4,0,POINT,210055,FROM_FD,王尚义王杰,,,,新建,撤销
84,Xin'an Jun,新安郡,新安郡,113.293979,39.193193,今山西繁峙县城东,Jun,郡,3,543,4,555,4,0,POINT,210056,FROM_FD,王尚义王杰,,,,新建,撤销
85,Fucheng Jun,敷城郡,敷城郡,112.226532,38.934885,今山西宁武县苗庄古城,Jun,郡,3,424,4,445,4,0,POINT,210057,FROM_FD,王尚义王杰,,,,新建,撤销
86,Loufang Jun,楼烦郡,樓煩郡,112.101291,38.642092,今山西宁武县宁化村,Jun,郡,3,608,4,616,4,94200,POINT,94200,FROM_AC,王尚义王杰,,,,新建,撤销
87,Ninghua Jun,宁化军,寧化軍,112.101291,38.642092,今山西宁武县宁化村,Jun,军,3,980,4,1181,4,0,POINT,210058,FROM_AC,王尚义王杰,,,,新建,更名
88,Ninghua Zhou,宁化州,寧化州,112.101291,38.642092,今山西宁武县宁化村,Zhou,州,3,1182,4,1217,4,0,POINT,210059,FROM_AC,王尚义王杰,,,,更名,撤销
89,Ningwu Fu,宁武府,寧武府,112.305088,39.007087,今山西宁武县县城,Fu,府,3,1725,4,1911,6,94025,POINT,94025,FROM_AC,王尚义王杰,,,,新建,数据下限
90,Wu Zhou,武州,武州,111.790457,39.029229,今山西五寨县小河头镇大武州村,Zhou,州,3,1040,4,1287,4,0,POINT,210060,FROM_FD,王尚义王杰,,,,新建,撤销
91,Beihe Zhou,北和州,北和州,111.05261,38.147042,今山西临县北故县村,Zhou,州,3,620,4,628,4,94206,POINT,94206,FROM_FD,王尚义袁钰,,,,新建,撤销
92,Beiwen Zhou,北温州,北溫州,111.453562,37.058765,今山西交口县东北25公里温泉乡,Zhou,州,3,620,4,627,4,94178,POINT,94178,FROM_FD,王尚义袁钰,,,,新建,撤销
93,Xifen Zhou,西汾州,西汾州,111.135442,37.510113,今山西离石县,Zhou,州,3,552,4,576,4,112932,POINT,212619,FROM_AC,王尚义王杰,,,,新建,更名
94,Shi Zhou,石州,石州,111.135442,37.510113,今山西离石县,Zhou,州,3,577,4,606,4,112933,POINT,212620,FROM_AC,王尚义王杰,,,,更名,撤销
95,Huaizheng Jun,怀政郡,懷政郡,111.135442,37.510113,今山西离石县,Jun,郡,3,552,4,576,4,0,POINT,210061,FROM_AC,王尚义袁钰,,,,新建,更名
96,Lishi Jun,离石郡,離石郡,111.135442,37.510113,今山西离石县,Jun,郡,3,577,4,580,4,0,POINT,210062,FROM_AC,王尚义王杰,,,,更名,撤销
97,Lishi Jun,离石郡,離石郡,111.135442,37.510113,今山西离石县,Jun,郡,3,607,4,617,4,94168,POINT,94168,FROM_AC,王尚义王杰,,,,新建,更名
98,Shi Zhou,石州,石州,111.135442,37.510113,今山西离石县,Zhou,州,3,618,4,741,4,0,POINT,210063,FROM_AC,王尚义王杰,,,,更名,更名
99,Changhua Jun,昌化郡,昌化郡,111.135442,37.510113,今山西离石县,Jun,郡,3,742,4,757,4,94170,POINT,94170,FROM_AC,王尚义王杰,,,,更名,更名
100,Shi Zhou,石州,石州,111.135442,37.510113,今山西离石县,Zhou,州,3,758,4,1260,4,0,POINT,210064,FROM_AC,王尚义王杰,,,,更名,撤销
101,Dinghu Jun,定胡郡,定胡郡,110.801296,37.551563,今山西柳林县西北孟门镇,Jun,郡,3,579,4,580,4,0,POINT,210065,FROM_AC,王尚义袁钰,,,,新建,撤销
102,Dingrong Jun,定戎郡,定戎郡,111.809099,37.170872,今山西孝义市东北大虢城,Jun,郡,3,529,4,560,3,0,POINT,210066,FROM_FD,王尚义袁钰,,,,新建,撤销
103,Dingyang Jun,定阳郡,定陽郡,111.912443,37.026468,今山西介休市区,Jun,郡,3,542,4,577,4,0,POINT,210067,FROM_AC,王尚义王杰,,,,新建,更名
104,Jiexiu Jun,介休郡,介休郡,111.912443,37.026468,今山西介休市区,Jun,郡,3,558,4,582,4,0,POINT,210068,FROM_AC,王尚义王杰,,,,更名,撤销
105,Jiexiu Jun,介休郡,介休郡,111.912443,37.026468,今山西介休市区,Jun,郡,3,617,4,617,4,94159,POINT,94159,FROM_AC,王尚义王杰,,,,新建,更名
106,Jie Zhou,介州,介州,111.912443,37.026468,今山西介休市区,Zhou,州,3,618,4,626,4,94163,POINT,94163,FROM_AC,王尚义王杰,,,,更名,撤销
107,Fang Zhou,方州,方州,111.236277,37.874433,今山西方山县南南村,Zhou,州,3,619,,619,,110302,POINT,212459,FROM_FD,王尚义王杰,,,,新建,撤销
108,Fen Zhou,汾州,汾州,110.93169,36.692292,今山西隰县,Zhou,州,3,488,,525,,0,POINT,210069,FROM_FD,王尚义袁钰,,,,新建,治所迁移
109,Fen Zhou,汾州,汾州,111.779308,37.263405,今山西汾阳市,Zhou,州,3,526,4,560,3,0,POINT,210070,FROM_AC,王尚义袁钰,,,,治所迁移,更名
110,Nansuo Zhou,南朔州,南朔州,111.779308,37.263405,今山西汾阳市,Zhou,州,3,561,3,571,3,0,POINT,210071,FROM_AC,王尚义袁钰,,,,更名,更名和治所迁移
111,Xihe Jun,西河郡,西河郡,111.779308,37.263405,今山西汾阳市,Jun,郡,3,221,4,303,4,0,POINT,210072,FROM_AC,王尚义袁钰,,,,新建,撤销
112,Xihe Jun,西河郡,西河郡,111.779308,37.263405,今山西汾阳市,Jun,郡,3,484,4,525,4,0,POINT,210073,FROM_AC,王尚义袁钰,,,,新建,治所迁移
113,Jie Zhou,介州,介州,111.779308,37.263405,今山西隰县,Zhou,州,3,572,3,606,4,0,POINT,210074,FROM_AC,王尚义袁钰,,,,更名和治所迁移,更名
114,Xihe Jun,西河郡,西河郡,111.779308,37.263405,今山西汾阳市,Jun,郡,3,607,4,617,4,110219,POINT,212429,FROM_AC,王尚义袁钰,,,,更名,更名
115,Hao Zhou,浩州,浩州,111.779308,37.263405,今山西汾阳市,Zhou,州,3,618,4,619,4,94162,POINT,94162,FROM_AC,王尚义袁钰,,,,更名,更名
116,Fen Zhou,汾州,汾州,111.779308,37.263405,今山西汾阳市,Zhou,州,3,629,4,741,4,0,POINT,210075,FROM_AC,王尚义袁钰,,,,更名,更名
117,Xihe Jun,西河郡,西河郡,111.779308,37.263405,今山西汾阳市,Jun,郡,3,742,4,757,4,94167,POINT,94167,FROM_AC,王尚义袁钰,,,,更名,更名
118,Fen Zhou,汾州,汾州,111.779308,37.263405,今山西汾阳市,Zhou,州,3,758,4,1264,4,0,POINT,210076,FROM_AC,王尚义袁钰,,,,更名,撤销
119,Fenzhou Fu,汾州府,汾州府,111.779308,37.263405,今山西汾阳市,Fu,府,3,1595,4,1911,6,94027,POINT,94027,FROM_AC,王尚义王杰,,,,更名,数据下限
120,Jianping Jun,建平郡,建平郡,111.75706,37.13823,今山西孝义市西六壁头村,Jun,郡,3,529,3,560,3,0,POINT,210077,FROM_FD,王尚义袁钰,,,,新建,撤销
121,Kuhu Jun,窟胡郡,窟胡郡,111.115207,37.437885,今山西中阳县西北金锣镇,Jun,郡,3,579,4,582,4,0,POINT,210078,FROM_FD,王尚义袁钰,,,,新建,撤销
122,Wutu Jun,乌突郡,烏突郡,111.05261,38.147042,今山西临县北故县村,Jun,郡,3,579,4,580,4,115916,POINT,212205,FROM_FD,王尚义袁钰,,,,新建,更名
123,Taihe Jun,太和郡,太和郡,111.05261,38.147042,今山西临县北故县村,Jun,郡,3,581,4,582,4,115847,POINT,212206,FROM_FD,王尚义袁钰,,,,更名,撤销
124,Tujing Jun,吐京郡,吐京郡,110.826922,36.995702,今山西石楼县,Jun,郡,3,448,4,525,4,0,POINT,210079,FROM_AC,王尚义袁钰,,,,新建,治所迁移
125,Tujing Jun,吐京郡,吐京郡,111.696556,37.130223,今山西孝义市西吐京村,Jun,郡,3,526,4,560,3,0,POINT,210080,FROM_FD,王尚义袁钰,,,,治所迁移,治所迁移
126,Tujing Jun,吐京郡,吐京郡,110.826922,36.995702,今山西石楼县,Jun,郡,3,561,4,582,3,0,POINT,210081,FROM_AC,王尚义袁钰,,,,治所迁移,撤销
127,Wuchang Jun,武昌郡,武昌郡,111.74815,37.200368,今汾阳市西南团城村,Jun,郡,3,546,4,560,3,0,POINT,210082,FROM_FD,王尚义袁钰,,,,新建,撤销
128,Xian Zhou,显州,顯州,111.75706,37.13823,今山西孝义市西六壁头村,Zhou,州,3,529,4,571,3,0,POINT,210083,FROM_FD,王尚义王杰,,,,新建,撤销
129,Yongshi Jun,永石郡,永石郡,111.135442,37.510113,今山西离石县,Jun,郡,3,318,4,518,4,0,POINT,210084,FROM_AC,王尚义袁钰,,,,新建,撤销
130,Zhenjun Jun,真君郡,真君郡,111.809099,37.170872,今山西孝义市北,Jun,郡,3,536,4,560,3,0,POINT,210085,FROM_FD,王尚义袁钰,,,,新建,撤销
131,Yu Zhou,榆州,榆州,112.963966,37.070933,今山西榆社县城,Zhou,州,3,620,4,622,4,94191,POINT,94191,FROM_AC,王尚义王杰,,,,新建,撤销
132,Leping Jun,乐平郡,樂平郡,113.557211,37.337493,今山西和顺县义兴镇北关村西北约二公里,Jun,郡,3,526,4,555,4,0,POINT,210086,FROM_FD,王尚义王杰,,,,新建,治所迁移
133,Liao Zhou,辽州,遼州,113.368425,37.07427,今山西左权县城,Zhou,州,3,623,4,624,4,94190,POINT,94190,FROM_AC,王尚义王杰,,,,治所迁移,更名
134,Ji Zhou,箕州,箕州,113.368425,37.07427,今山西左权县城,Zhou,州,3,625,4,711,4,94193,POINT,94193,FROM_AC,王尚义王杰,,,,更名,更名
135,Yi Zhou,仪州,儀州,113.368425,37.07427,今山西左权县城,Zhou,州,3,712,4,741,4,94194,POINT,94194,FROM_AC,王尚义王杰,,,,更名,更名
136,Leping Jun,乐平郡,樂平郡,113.368425,37.07427,今山西左权县城,Jun,郡,3,742,4,757,4,94195,POINT,94195,FROM_AC,王尚义王杰,,,,更名,更名
137,Yi Zhou,仪州,儀州,113.368425,37.07427,今山西左权县城,Zhou,州,3,758,4,882,4,94196,POINT,94196,FROM_AC,王尚义王杰,,,,更名,更名
138,Liao Zhou,辽州,遼州,113.368425,37.07427,今山西左权县城,Zhou,州,3,883,4,1073,4,94197,POINT,94197,FROM_AC,王尚义王杰,,,,更名,撤销
139,Liao Zhou,辽州,遼州,113.368425,37.07427,今山西左权县城,Zhou,州,3,1085,4,1127,4,94247,POINT,94247,FROM_AC,王尚义王杰,,,,新建,更名
140,Nanliao Zhou,南辽州,南遼州,113.368425,37.07427,今山西左权县城,Zhou,州,3,1128,4,1150,4,94248,POINT,94248,FROM_AC,王尚义王杰,,,,更名,更名
141,Liao Zhou,辽州,遼州,113.368425,37.07427,今山西左权县,Zhou,州,3,1151,4,1217,4,94032,POINT,94032,FROM_AC,王尚义王杰,,,,更名,撤销
142,Liao Zhou,辽州,遼州,113.368425,37.07427,今山西左权县,Zhou,州,3,1368,4,1911,6,0,POINT,210087,FROM_AC,王尚义王杰,,,,新建,数据下限
143,Fen Zhou,汾州,汾州,111.779308,37.263405,今山西汾阳市,Zhou,州,3,1376,4,1594,4,94028,POINT,94028,FROM_AC,王尚义袁钰,,,,新建,更名
144,Wuxiang Jun,武乡郡,武鄉郡,112.963966,37.070933,今山西榆社县城,Jun,郡,3,317,4,371,4,0,POINT,210088,FROM_AC,王尚义王杰,,,,新建,撤销
145,Feng Zhou,丰州,豐州,112.663551,36.944355,今山西武乡县故县村,Zhou,州,3,529,4,561,4,0,POINT,210089,FROM_AC,王尚义王杰,,,,新建,更名
146,Rong Zhou,戎州,戎州,112.663551,36.944355,今山西武乡县故县村,Zhou,州,3,562,4,576,4,0,POINT,210090,FROM_AC,王尚义王杰,,,,更名,撤销
