index_x,id,toponym,location,index_y,Address,Match Type,Match Result,Match Level,Match Error,Province,City,County,Direction,geometry,X,Y
13,11.0,商密,今河南省淅川县西南,13,今河南省淅川县西南,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],西南,POINT (111.3489013150585 32.89567168150276),111.3489013150585,32.89567168150276
14,11.0,宜城,今湖北省宜城县东南,14,今湖北省宜城县东南,Single,[{'county': 420684}],County,[],['湖北'],['襄阳'],['宜城'],东南,POINT (112.54872968817955 31.594443674695828),112.54872968817955,31.594443674695828
15,13.0,上庸,湖北省竹山县西南,15,湖北省竹山县西南,Single,[{'county': 420323}],County,[],['湖北'],['十堰'],['竹山'],西南,POINT (110.02967793848985 31.835038804173376),110.02967793848985,31.835038804173376
16,14.0,宛丘,今河南省淮阳县,16,今河南省淮阳县,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314947 33.6808532217299),114.83427319314947,33.6808532217299
17,15.0,沈县,今安徽省临泉县,17,今安徽省临泉县,Single,[{'county': 341221}],County,[],['安徽'],['阜阳'],['临泉'],,POINT (115.32646769440711 32.85919356801763),115.32646769440711,32.85919356801763
18,15.0,沈国,今河南省平舆县北,18,今河南省平舆县北,Single,[{'county': 411723}],County,[],['河南'],['驻马店'],['平舆'],北,POINT (114.6180716763989 33.08854590983806),114.6180716763989,33.08854590983806
19,16.0,城父,河南省襄城县西（即宝丰县东）,19,河南省襄城县西（即宝丰县东）,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],西,POINT (113.47257105166725 33.86549012672302),113.47257105166725,33.86549012672302
20,16.0,成公乾,河南省襄城县西（即宝丰县东）,20,河南省襄城县西（即宝丰县东）,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],西,POINT (113.47257105166725 33.86549012672302),113.47257105166725,33.86549012672302
21,17.0,郧,今湖北省京山、钟祥二县之间,21,今湖北省京山、钟祥二县之间,Single,"[{'county': 420882}, {'county': 420881}]",County,['Multiple Matches'],['湖北'],['荆门'],"['钟祥', '京山']",,,,
22,17.0,竟陵县,今湖北省钟祥县北境,22,今湖北省钟祥县北境,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],,POINT (112.59026941241893 31.16370756306475),112.59026941241893,31.16370756306475
23,18.0,州来,安徽省凤台县,23,安徽省凤台县,Single,[{'county': 340421}],County,[],['安徽'],['淮南'],['凤台'],,POINT (116.58366822479394 32.778453487255135),116.58366822479394,32.778453487255135
24,18.0,下蔡,安徽省凤台县,24,安徽省凤台县,Single,[{'county': 340421}],County,[],['安徽'],['淮南'],['凤台'],,POINT (116.58366822479394 32.778453487255135),116.58366822479394,32.778453487255135
25,19.0,叶县,今河南省叶县南,25,今河南省叶县南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],南,POINT (113.34345581508488 32.6592671778409),113.34345581508488,32.6592671778409
26,19.0,许国,今河南省许昌市东,26,今河南省许昌市东,Single,[{'city': 4110}],City,[],['河南'],['许昌'],['NA'],东,POINT (114.00356960917803 34.02570432708742),114.00356960917803,34.02570432708742
27,20.0,陈,河南省周口市淮阳区,27,河南省周口市淮阳区,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314947 33.6808532217299),114.83427319314947,33.6808532217299
28,20.0,蔡,河南省驻马店市遂平县,28,河南省驻马店市遂平县,Single,[{'county': 411728}],County,[],['河南'],['驻马店'],['遂平'],,POINT (113.9035515691791 33.1705659156846),113.9035515691791,33.1705659156846
29,20.0,东不羹,河南省舞阳县西北,29,河南省舞阳县西北,Single,[{'county': 411121}],County,[],['河南'],['漯河'],['舞阳'],西北,POINT (113.63799840476436 33.62084811001212),113.63799840476436,33.62084811001212
30,20.0,西不羹,河南省襄城县东南,30,河南省襄城县东南,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],东南,POINT (113.65864801662784 33.79213548583644),113.65864801662784,33.79213548583644
31,21.0,蔡叔之蔡,河南省修武县以西地带,31,河南省修武县以西地带,Single,[{'county': 410821}],County,[],['河南'],['焦作'],['修武'],,POINT (113.25098265552512 35.335418099597675),113.25098265552512,35.335418099597675
32,21.0,蔡仲之蔡,河南省上蔡县城关一带,32,河南省上蔡县城关一带,Single,[{'county': 411722}],County,[],['河南'],['驻马店'],['上蔡'],,POINT (114.43567889279541 33.303063368792536),114.43567889279541,33.303063368792536
33,21.0,新蔡,河南省新蔡县西,33,河南省新蔡县西,Single,[{'county': 411729}],County,[],['河南'],['驻马店'],['新蔡'],西,POINT (114.81566130467922 32.832301356661006),114.81566130467922,32.832301356661006
34,22.0,白县,河南省息县东北或淮滨县西南,34,河南省息县东北或淮滨县西南,Single,[{'county': 411527}],County,[],['河南'],['信阳'],['淮滨'],西南,POINT (115.21662798717733 32.415143230054134),115.21662798717733,32.415143230054134
35,22.0,鄢,河南省漯河市东,35,河南省漯河市东,Single,[{'city': 4111}],City,[],['河南'],['漯河'],['NA'],东,POINT (114.00450087102443 33.699766113252736),114.00450087102443,33.699766113252736
36,23.0,巢,今六安县东北,36,今六安县东北,Single,[{'city': 3415}],City,[],['安徽'],['六安'],['NA'],东北,POINT (116.39834601932587 32.121570977949645),116.39834601932587,32.121570977949645
37,23.0,钟离,今安徽省凤阳县东北,37,今安徽省凤阳县东北,Single,[{'county': 341126}],County,[],['安徽'],['滁州'],['凤阳'],东北,POINT (117.74339579251827 32.928118140106754),117.74339579251827,32.928118140106754
38,24.0,钟离,安徽省凤阳县东北临淮关,38,安徽省凤阳县东北临淮关,Single,[{'county': 341126}],County,[],['安徽'],['滁州'],['凤阳'],,POINT (117.6495453769205 32.83467915504201),117.6495453769205,32.83467915504201
39,25.0,阴县,今湖北省老河口北,39,今湖北省老河口北,Single,[{'county': 420682}],County,[],['湖北'],['襄阳'],['老河口'],北,POINT (111.67915287960474 32.57991280275441),111.67915287960474,32.57991280275441
40,26.0,棠县,今江苏省六合县西北,40,今江苏省六合县西北,Single,[{'county': 320116}],County,[],['江苏'],['南京'],['六合'],西北,POINT (118.71752407656504 32.498889905780764),118.71752407656504,32.498889905780764
41,27.0,武城,河南省信阳市东北,41,河南省信阳市东北,Single,[{'city': 4115}],City,[],['河南'],['信阳'],['NA'],东北,POINT (115.39159126051227 32.36658840647766),115.39159126051227,32.36658840647766
42,28.0,成臼,今湖北省钟祥县南之旧口,42,今湖北省钟祥县南之旧口,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],,POINT (112.59026941241893 31.16370756306475),112.59026941241893,31.16370756306475
43,28.0,蓝县,今湖北省钟祥县西北,43,今湖北省钟祥县西北,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],西北,POINT (112.37189480732293 31.431744100521637),112.37189480732293,31.431744100521637
44,29.0,苦县,今河南省鹿邑县东,44,今河南省鹿邑县东,Single,[{'county': 411628}],County,[],['河南'],['周口'],['鹿邑'],东,POINT (115.48040847576172 33.91043560581133),115.48040847576172,33.91043560581133
45,30.0,荀,山西省新绛县东北,45,山西省新绛县东北,Single,[{'county': 140825}],County,[],['山西'],['运城'],['新绛'],东北,POINT (111.20247282747283 35.707862053057),111.20247282747283,35.707862053057
46,30.0,荀城,河东,46,河东,Single,"[{'county': 120102}, {'county': 371312}]",County,['Multiple Matches'],"['天津', '山东']","['天津', '临沂']",['河东'],东,,,
47,31.0,耿,山西省河津县东南,47,山西省河津县东南,Single,[{'county': 140882}],County,[],['山西'],['运城'],['河津'],东南,POINT (110.7599363290082 35.58005417864533),110.7599363290082,35.58005417864533
48,31.0,魏,山西省芮城县北,48,山西省芮城县北,Single,[{'county': 140830}],County,[],['山西'],['运城'],['芮城'],北,POINT (110.66919711236908 34.77537845002612),110.66919711236908,34.77537845002612
49,32.0,州,今河南省温县东北,49,今河南省温县东北,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408925853659,35.1259759898753
50,33.0,原,今河南省济源市西北,50,今河南省济源市西北,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.24865016245404,35.16917817701757
51,34.0,温,河南省温县西南,51,河南省温县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586187 33.07547364435473),112.38335199586187,33.07547364435473
52,34.0,原,未明确,52,未明确,Single,[],0,['No Match'],[],[],[],,,,
53,34.0,缔,未明确,53,未明确,Single,[],0,['No Match'],[],[],[],,,,
54,34.0,樊,未明确,54,未明确,Single,[],0,['No Match'],[],[],[],,,,
55,34.0,隰郕,未明确,55,未明确,Single,[],0,['No Match'],[],[],[],,,,
56,34.0,茅,未明确,56,未明确,Single,[],0,['No Match'],[],[],[],,,,
57,34.0,向,未明确,57,未明确,Single,[],0,['No Match'],[],[],[],,,,
58,34.0,盟,未明确,58,未明确,Single,[],0,['No Match'],[],[],[],,,,
59,34.0,州,未明确,59,未明确,Single,[],0,['No Match'],[],[],[],,,,
60,34.0,陉,未明确,60,未明确,Single,[],0,['No Match'],[],[],[],,,,
61,34.0,怀,未明确,61,未明确,Single,[],0,['No Match'],[],[],[],,,,
62,34.0,阳樊,未明确,62,未明确,Single,[],0,['No Match'],[],[],[],,,,
63,35.0,阳樊,河南省济源市西南,63,河南省济源市西南,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西南,POINT (112.25871332697655 35.0338132617584),112.25871332697655,35.0338132617584
64,36.0,欑茅,河南省修武县北,64,河南省修武县北,Single,[{'county': 410821}],County,[],['河南'],['焦作'],['修武'],北,POINT (113.3294711579739 35.424176774497866),113.3294711579739,35.424176774497866
65,36.0,絺,河南省沁阳市西南,65,河南省沁阳市西南,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西南,POINT (112.81423673236438 35.0805427573925),112.81423673236438,35.0805427573925
66,36.0,陉,河南省沁阳市西北,66,河南省沁阳市西北,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西北,POINT (112.82207243327667 35.1899388821775),112.82207243327667,35.1899388821775
67,37.0,阳樊,今河南省南阳市,67,今河南省南阳市,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
68,37.0,温,今河南省温县,68,今河南省温县,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],,POINT (113.12381458489415 33.90583689978037),113.12381458489415,33.90583689978037
69,37.0,原,今河南省原阳县,69,今河南省原阳县,Single,[{'county': 410725}],County,[],['河南'],['新乡'],['原阳'],,POINT (113.93573852377787 35.02307544697928),113.93573852377787,35.02307544697928
70,37.0,州,今河南省巩义市,70,今河南省巩义市,Single,[{'county': 410181}],County,[],['河南'],['郑州'],['巩义'],,POINT (113.0759808001721 34.70277642731984),113.0759808001721,34.70277642731984
71,37.0,陉,今河南省新安县,71,今河南省新安县,Single,[{'county': 410323}],County,[],['河南'],['洛阳'],['新安'],,POINT (112.11477889252149 34.851623512571),112.11477889252149,34.851623512571
72,37.0,鉏,今河南省滑县东,72,今河南省滑县东,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东,POINT (114.61564810249254 33.87105993080234),114.61564810249254,33.87105993080234
73,39.0,瑕县,今河南省灵宝市西北,73,今河南省灵宝市西北,Single,[{'county': 411282}],County,[],['河南'],['三门峡'],['灵宝'],西北,POINT (110.56884012103086 34.556329794168036),110.56884012103086,34.556329794168036
74,40.0,阴地,今河南省卢氏县东北之阴地城,74,今河南省卢氏县东北之阴地城,Single,[{'county': 411224}],County,[],['河南'],['三门峡'],['卢氏'],,POINT (111.0004383954327 33.98005790891679),111.0004383954327,33.98005790891679
75,41.0,瓜衍之县,今山西省孝义市北,75,今山西省孝义市北,Single,[{'county': 141181}],County,[],['山西'],['吕梁'],['孝义'],北,POINT (111.47384774708357 37.21328035235951),111.47384774708357,37.21328035235951
76,42.0,邢丘,今河南省温县东北,76,今河南省温县东北,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408925853659,35.1259759898753
77,43.0,长子,今山西省长子县,77,今山西省长子县,Single,[{'county': 140428}],County,[],['山西'],['长治'],['长子'],,POINT (112.74548932043358 36.09314690176834),112.74548932043358,36.09314690176834
78,43.0,纯留,今山西省屯留县东南,78,今山西省屯留县东南,Single,[{'county': 140405}],County,[],['山西'],['长治'],['屯留'],东南,POINT (112.88257085707775 36.28942280041733),112.88257085707775,36.28942280041733
79,44.0,绛,山西省翼城县东南,79,山西省翼城县东南,Single,[{'county': 141022}],County,[],['山西'],['临汾'],['翼城'],东南,POINT (111.90592411773997 35.548739989585414),111.90592411773997,35.548739989585414
80,44.0,新绛,山西省侯马市西,80,山西省侯马市西,Single,[{'county': 141081}],County,[],['山西'],['临汾'],['侯马'],西,POINT (111.32840256273724 35.590361031085344),111.32840256273724,35.590361031085344
81,45.0,羽颉,河北省任县东南,81,河北省任县东南,Single,[{'province': 13}],Province,[],['河北'],['NA'],['NA'],东南,POINT (116.90211093871565 38.376611222714985),116.90211093871565,38.376611222714985
82,45.0,任县,河北省任县东南,82,河北省任县东南,Single,[{'province': 13}],Province,[],['河北'],['NA'],['NA'],东南,POINT (116.90211093871565 38.376611222714985),116.90211093871565,38.376611222714985
83,46.0,中牟,今河南省鹤壁市西,83,今河南省鹤壁市西,Single,[{'city': 4106}],City,[],['河南'],['鹤壁'],['NA'],西,POINT (114.1725383820197 35.747500848241565),114.1725383820197,35.747500848241565
84,48.0,邬县,山西省介休市东北,84,山西省介休市东北,Single,[{'county': 140781}],County,[],['山西'],['晋中'],['介休'],东北,POINT (112.07477141384096 37.07439019662411),112.07477141384096,37.07439019662411
85,48.0,祁县,山西省祁县东南,85,山西省祁县东南,Single,[{'province': 14}],Province,[],['山西'],['NA'],['NA'],东南,POINT (112.64187264646688 36.390949605828496),112.64187264646688,36.390949605828496
86,48.0,平陵县,山西省文水县东北,86,山西省文水县东北,Single,[{'county': 141121}],County,[],['山西'],['吕梁'],['文水'],东北,POINT (112.02127509577322 37.50193460664111),112.02127509577322,37.50193460664111
87,48.0,梗阳县,山西省清徐县,87,山西省清徐县,Single,[{'county': 140121}],County,[],['山西'],['太原'],['清徐'],,POINT (112.2845892641352 37.61884260531369),112.2845892641352,37.61884260531369
88,48.0,涂水县,山西省榆次市西南,88,山西省榆次市西南,Single,[{'county': 140702}],County,[],['山西'],['晋中'],['榆次'],西南,POINT (112.71009031377348 37.580502346661085),112.71009031377348,37.580502346661085
89,48.0,马首县,山西省寿阳县东南,89,山西省寿阳县东南,Single,[{'county': 140725}],County,[],['山西'],['晋中'],['寿阳'],东南,POINT (113.23133055966106 37.67516179636428),113.23133055966106,37.67516179636428
90,48.0,孟县,山西省阳曲县东北,90,山西省阳曲县东北,Single,[{'county': 140122}],County,[],['山西'],['太原'],['阳曲'],东北,POINT (112.93071204824423 38.2796541976855),112.93071204824423,38.2796541976855
91,49.0,铜鞮县,山西省沁县南,91,山西省沁县南,Single,[{'province': 14}],Province,[],['山西'],['NA'],['NA'],南,POINT (112.09945586242732 36.112284626374795),112.09945586242732,36.112284626374795
92,49.0,平阳县,山西省临汾市西南,92,山西省临汾市西南,Single,[{'city': 1410}],City,[],['山西'],['临汾'],['NA'],西南,POINT (110.95940596277902 35.870585002971154),110.95940596277902,35.870585002971154
93,49.0,杨县,山西省洪洞县东南,93,山西省洪洞县东南,Single,[{'county': 141024}],County,[],['山西'],['临汾'],['洪洞'],东南,POINT (111.76632294684723 36.20937614108381),111.76632294684723,36.20937614108381
94,50.0,邯郸,河北省邯郸市,94,河北省邯郸市,Single,[{'city': 1304}],City,[],['河北'],['邯郸'],['NA'],,POINT (114.4378076382752 36.52042550360742),114.4378076382752,36.52042550360742
95,50.0,晋阳,山西省太原市,95,山西省太原市,Single,[{'city': 1401}],City,[],['山西'],['太原'],['NA'],,POINT (112.16070994710259 37.945754829647214),112.16070994710259,37.945754829647214
96,51.0,阳樊,河南省济源市西北,96,河南省济源市西北,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.24865016245404,35.16917817701757
97,51.0,原,河南省济源市西北,97,河南省济源市西北,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.24865016245404,35.16917817701757
98,51.0,冀,山西省河津县东北,98,山西省河津县东北,Single,[{'county': 140882}],County,[],['山西'],['运城'],['河津'],东北,POINT (110.75907676603538 35.67038169692568),110.75907676603538,35.67038169692568
99,52.0,甘县,今河南省洛阳市南,99,今河南省洛阳市南,Single,[{'city': 4103}],City,[],['河南'],['洛阳'],['NA'],南,POINT (111.89765241251301 33.93810524805977),111.89765241251301,33.93810524805977
100,53.0,邽县,今甘肃省天水市,100,今甘肃省天水市,Single,[{'city': 6205}],City,[],['甘肃'],['天水'],['NA'],,POINT (105.56274238051873 34.60741068424415),105.56274238051873,34.60741068424415
101,53.0,冀县,今甘肃省甘谷县,101,今甘肃省甘谷县,Single,[{'county': 620523}],County,[],['甘肃'],['天水'],['甘谷'],,POINT (105.28859833910805 34.78318052698069),105.28859833910805,34.78318052698069
102,53.0,杜县,今陕西省西安市南,102,今陕西省西安市南,Single,[{'city': 6101}],City,[],['陕西'],['西安'],['NA'],南,POINT (108.65098194791896 33.91365067571057),108.65098194791896,33.91365067571057
103,53.0,郑县,今陕西省华县,103,今陕西省华县,Single,[{'province': 61}],Province,[],['陕西'],['NA'],['NA'],,POINT (109.56737398447608 35.637090531250415),109.56737398447608,35.637090531250415
104,53.0,下邽县,今陕西省渭南市北,104,今陕西省渭南市北,Single,[{'city': 6105}],City,[],['陕西'],['渭南'],['NA'],北,POINT (110.00285855788006 35.40464219324823),110.00285855788006,35.40464219324823
105,53.0,虢县,今陕西省宝鸡县西,105,今陕西省宝鸡县西,Single,[{'city': 6103}],City,[],['陕西'],['宝鸡'],['NA'],西,POINT (106.94687429694063 34.34824100419983),106.94687429694063,34.34824100419983
106,54.0,釐邑,莱邑,106,莱邑,Single,[],0,['No Match'],[],[],[],,,,
107,54.0,棠县,山东省平度市东南,107,山东省平度市东南,Single,[{'county': 370283}],County,[],['山东'],['青岛'],['平度'],东南,POINT (120.07941971168003 36.63274007390064),120.07941971168003,36.63274007390064
108,54.0,临菑,齐国五都之一,108,齐国五都之一,Single,[],0,['No Match'],[],[],[],,,,
109,55.0,朱方,江苏省镇江市东南,109,江苏省镇江市东南,Single,[{'city': 3211}],City,[],['江苏'],['镇江'],['NA'],东南,POINT (119.63161464661293 31.87821961962365),119.63161464661293,31.87821961962365
110,55.0,卑梁,安徽省天长市西北,110,安徽省天长市西北,Single,[{'county': 341181}],County,[],['安徽'],['滁州'],['天长'],西北,POINT (118.900476981971 32.86288275409928),118.900476981971,32.86288275409928
111,57.0,颍水,河南省许昌市,111,河南省许昌市,Single,[{'city': 4110}],City,[],['河南'],['许昌'],['NA'],,POINT (113.79765786159828 34.05495544900557),113.79765786159828,34.05495544900557
112,57.0,阳翟县,河南省禹州市,112,河南省禹州市,Single,[{'county': 411081}],County,[],['河南'],['许昌'],['禹州'],,POINT (113.35347176959424 34.20811326763051),113.35347176959424,34.20811326763051
113,57.0,洛邑,河南省洛阳市,113,河南省洛阳市,Single,[{'city': 4103}],City,[],['河南'],['洛阳'],['NA'],,POINT (111.87356488822361 34.31977060650256),111.87356488822361,34.31977060650256
114,57.0,栎,河南省禹州市阳翟县,114,河南省禹州市阳翟县,Single,[{'county': 411081}],County,[],['河南'],['许昌'],['禹州'],,POINT (113.35347176959424 34.20811326763051),113.35347176959424,34.20811326763051
115,58.0,临淄,山东省淄博市临淄北,115,山东省淄博市临淄北,Single,[{'county': 370305}],County,[],['山东'],['淄博'],['临淄'],北,POINT (118.34108450023777 36.94218593262121),118.34108450023777,36.94218593262121
116,58.0,薄姑,山东省博兴县,116,山东省博兴县,Single,[{'county': 371625}],County,[],['山东'],['滨州'],['博兴'],,POINT (118.23437059021434 37.194684366686516),118.23437059021434,37.194684366686516
117,59.0,高唐,山东省高唐县东,117,山东省高唐县东,Single,[{'county': 371526}],County,[],['山东'],['聊城'],['高唐'],东,POINT (116.33754447257712 36.8466299503412),116.33754447257712,36.8466299503412
118,60.0,安平,山东省淄博市东北,118,山东省淄博市东北,Single,[{'city': 3703}],City,[],['山东'],['淄博'],['NA'],东北,POINT (118.26825979565075 36.84534044816272),118.26825979565075,36.84534044816272
119,60.0,酅邑,山东省淄博市东北,119,山东省淄博市东北,Single,[{'city': 3703}],City,[],['山东'],['淄博'],['NA'],东北,POINT (118.26825979565075 36.84534044816272),118.26825979565075,36.84534044816272
120,61.0,阿县,今山东省邹城市,120,今山东省邹城市,Single,[{'county': 370883}],County,[],['山东'],['济宁'],['邹城'],,POINT (117.04820436777221 35.34010218903305),117.04820436777221,35.34010218903305
121,61.0,甄城,今山东省甄城县北,121,今山东省甄城县北,Single,[{'province': 37}],Province,[],['山东'],['NA'],['NA'],北,POINT (117.6629541208103 37.30357282776841),117.6629541208103,37.30357282776841
122,62.0,即墨,山东省平度市东南,122,山东省平度市东南,Single,[{'county': 370283}],County,[],['山东'],['青岛'],['平度'],东南,POINT (120.07941971168003 36.63274007390064),120.07941971168003,36.63274007390064
123,62.0,阿,山东省阳谷县东北阿城镇,123,山东省阳谷县东北阿城镇,Single,[{'county': 371521}],County,[],['山东'],['聊城'],['阳谷'],,POINT (115.89178613584865 36.133166695453625),115.89178613584865,36.133166695453625
124,63.0,南武城,山东省平邑县东南故县,124,山东省平邑县东南故县,Single,[{'county': 371326}],County,[],['山东'],['临沂'],['平邑'],,POINT (117.68297262988364 35.44084021918496),117.68297262988364,35.44084021918496
125,64.0,薛,今山东省滕州市南,125,今山东省滕州市南,Single,[{'county': 370481}],County,[],['山东'],['枣庄'],['滕州'],南,POINT (117.17205515742648 34.95714440098712),117.17205515742648,34.95714440098712
126,66.0,蒙,河南省商丘市东北,126,河南省商丘市东北,Single,[{'city': 4114}],City,[],['河南'],['商丘'],['NA'],东北,POINT (115.95829282515403 34.421396421455995),115.95829282515403,34.421396421455995
127,67.0,昌城,山东省淄博市东南昌城,127,山东省淄博市东南昌城,Single,[{'city': 3703}],City,[],['山东'],['淄博'],['NA'],,POINT (117.96631730640821 36.61950115673082),117.96631730640821,36.61950115673082
128,68.0,聊城,山东省聊城市西北,128,山东省聊城市西北,Single,[{'city': 3715}],City,[],['山东'],['聊城'],['NA'],西北,POINT (115.68673769671018 36.7172137829766),115.68673769671018,36.7172137829766
129,70.0,夜邑,山东省莱州市,129,山东省莱州市,Single,[{'county': 370683}],County,[],['山东'],['烟台'],['莱州'],,POINT (120.09701381208772 37.238441347532564),120.09701381208772,37.238441347532564
130,71.0,盖大夫,山东省沂源县东南,130,山东省沂源县东南,Single,[{'county': 370323}],County,[],['山东'],['淄博'],['沂源'],东南,POINT (118.33226210224501 36.06688060334014),118.33226210224501,36.06688060334014
131,72.0,平陆都,山东省汶上县北,131,山东省汶上县北,Single,[{'county': 370830}],County,[],['山东'],['济宁'],['汶上'],北,POINT (116.59295916413201 35.83149372436495),116.59295916413201,35.83149372436495
132,73.0,平陵县,今山东省济南市历城区境内,132,今山东省济南市历城区境内,Single,[{'county': 370112}],County,[],['山东'],['济南'],['历城'],,POINT (117.26284260196135 36.60358954347619),117.26284260196135,36.60358954347619
133,75.0,安阳,山东阳谷东北,133,山东阳谷东北,Single,[{'county': 371521}],County,[],['山东'],['聊城'],['阳谷'],东北,POINT (115.97938892166233 36.21495568836853),115.97938892166233,36.21495568836853
134,76.0,阳都,山东省沂水县,134,山东省沂水县,Single,[{'county': 371323}],County,[],['山东'],['临沂'],['沂水'],,POINT (118.50274072351553 35.906359354284675),118.50274072351553,35.906359354284675
135,76.0,高密,山东省高密市,135,山东省高密市,Single,[{'county': 370785}],County,[],['山东'],['潍坊'],['高密'],,POINT (119.70108136939798 36.421014492616436),119.70108136939798,36.421014492616436
136,76.0,平阿,山东省平阴县,136,山东省平阴县,Single,[{'county': 370124}],County,[],['山东'],['济南'],['平阴'],,POINT (116.36707217836954 36.21076597362565),116.36707217836954,36.21076597362565
137,76.0,平陆,山东省平邑县,137,山东省平邑县,Single,[{'county': 371326}],County,[],['山东'],['临沂'],['平邑'],,POINT (117.68297262988364 35.44084021918496),117.68297262988364,35.44084021918496
138,77.0,平阳,山西省临汾市西南,138,山西省临汾市西南,Single,[{'city': 1410}],City,[],['山西'],['临汾'],['NA'],西南,POINT (110.95940596277902 35.870585002971154),110.95940596277902,35.870585002971154
139,77.0,阳翟,河南省禹州市,139,河南省禹州市,Single,[{'county': 411081}],County,[],['河南'],['许昌'],['禹州'],,POINT (113.35347176959424 34.20811326763051),113.35347176959424,34.20811326763051
140,78.0,杨氏县,今山西省洪洞县东南,140,今山西省洪洞县东南,Single,[{'county': 141024}],County,[],['山西'],['临汾'],['洪洞'],东南,POINT (111.76632294684723 36.20937614108381),111.76632294684723,36.20937614108381
