,index_x,id,toponym,location,index_y,Address,closeness,target_toponym,Match Type,Match Result,Match Level,Match Error,Province,City,County,Direction,geometry,X,Y
91,91,49,铜鞮县,山西省沁县南,91,山西省沁县南,1,﻿铜鞮,Single,[{'province': 14}],Province,[],['山西'],['NA'],['NA'],南,POINT (112.09945586242732 36.1122846263748),112.0994559,36.11228463
92,92,49,平阳县,山西省临汾市西南,92,山西省临汾市西南,1,平阳,Single,[{'city': 1410}],City,[],['山西'],['临汾'],['NA'],西南,POINT (110.95940596277902 35.870585002971154),110.959406,35.870585
93,93,49,杨县,山西省洪洞县东南,93,山西省洪洞县东南,1,杨,Single,[{'county': 141024}],County,[],['山西'],['临汾'],['洪洞'],东南,POINT (111.76632294684724 36.20937614108381),111.7663229,36.20937614
94,94,50,邯郸,河北省邯郸市,94,河北省邯郸市,1,邯郸,Single,[{'city': 1304}],City,[],['河北'],['邯郸'],['NA'],,POINT (114.4378076382752 36.52042550360742),114.4378076,36.5204255
95,95,50,晋阳,山西省太原市,95,山西省太原市,0,,Single,[{'city': 1401}],City,[],['山西'],['太原'],['NA'],,POINT (112.1607099471026 37.945754829647214),112.1607099,37.94575483
96,96,51,阳樊,河南省济源市西北,96,河南省济源市西北,0,,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.2486502,35.16917818
97,97,51,原,河南省济源市西北,97,河南省济源市西北,0.985737061,﻿原,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.2486502,35.16917818
98,98,51,冀,山西省河津县东北,98,山西省河津县东北,0,,Single,[{'county': 140882}],County,[],['山西'],['运城'],['河津'],东北,POINT (110.75907676603538 35.67038169692568),110.7590768,35.6703817
99,99,52,甘县,今河南省洛阳市南,99,今河南省洛阳市南,1,﻿甘,Single,[{'city': 4103}],City,[],['河南'],['洛阳'],['NA'],南,POINT (111.897652412513 33.93810524805977),111.8976524,33.93810525
100,100,53,邽县,今甘肃省天水市,100,今甘肃省天水市,1,﻿上邽,Single,[{'city': 6205}],City,[],['甘肃'],['天水'],['NA'],,POINT (105.56274238051871 34.60741068424415),105.5627424,34.60741068
101,101,53,冀县,今甘肃省甘谷县,101,今甘肃省甘谷县,1,冀,Single,[{'county': 620523}],County,[],['甘肃'],['天水'],['甘谷'],,POINT (105.28859833910803 34.78318052698069),105.2885983,34.78318053
102,102,53,杜县,今陕西省西安市南,102,今陕西省西安市南,1,杜,Single,[{'city': 6101}],City,[],['陕西'],['西安'],['NA'],南,POINT (108.65098194791896 33.91365067571057),108.6509819,33.91365068
103,103,53,郑县,今陕西省华县,103,今陕西省华县,1,郑,Single,[{'province': 61}],Province,[],['陕西'],['NA'],['NA'],,POINT (109.56737398447608 35.637090531250415),109.567374,35.63709053
104,104,53,下邽县,今陕西省渭南市北,104,今陕西省渭南市北,1,下邽,Single,[{'city': 6105}],City,[],['陕西'],['渭南'],['NA'],北,POINT (110.00285855788006 35.40464219324823),110.0028586,35.40464219
105,105,53,虢县,今陕西省宝鸡县西,105,今陕西省宝鸡县西,1,虢,Single,[{'city': 6103}],City,[],['陕西'],['宝鸡'],['NA'],西,POINT (106.94687429694063 34.34824100419983),106.9468743,34.348241
106,106,54,釐邑,莱邑,106,莱邑,0,,Single,[],0,['No Match'],[],[],[],,POINT EMPTY,,
107,107,54,棠县,山东省平度市东南,107,山东省平度市东南,1,棠,Single,[{'county': 370283}],County,[],['山东'],['青岛'],['平度'],东南,POINT (120.07941971168005 36.63274007390064),120.0794197,36.63274007
108,108,54,临菑,齐国五都之一,108,齐国五都之一,0,,Single,[],0,['No Match'],[],[],[],,POINT EMPTY,,
109,109,55,朱方,江苏省镇江市东南,109,江苏省镇江市东南,1,﻿朱方,Single,[{'city': 3211}],City,[],['江苏'],['镇江'],['NA'],东南,POINT (119.63161464661292 31.87821961962365),119.6316146,31.87821962
110,110,55,卑梁,安徽省天长市西北,110,安徽省天长市西北,1,卑梁,Single,[{'county': 341181}],County,[],['安徽'],['滁州'],['天长'],西北,POINT (118.900476981971 32.86288275409928),118.900477,32.86288275
111,111,57,颍水,河南省许昌市,111,河南省许昌市,0,,Single,[{'city': 4110}],City,[],['河南'],['许昌'],['NA'],,POINT (113.79765786159828 34.05495544900557),113.7976579,34.05495545
112,112,57,阳翟县,河南省禹州市,112,河南省禹州市,0,,Single,[{'county': 411081}],County,[],['河南'],['许昌'],['禹州'],,POINT (113.35347176959424 34.20811326763051),113.3534718,34.20811327
113,113,57,洛邑,河南省洛阳市,113,河南省洛阳市,0,,Single,[{'city': 4103}],City,[],['河南'],['洛阳'],['NA'],,POINT (111.8735648882236 34.31977060650256),111.8735649,34.31977061
114,114,57,栎,河南省禹州市阳翟县,114,河南省禹州市阳翟县,1,栎,Single,[{'county': 411081}],County,[],['河南'],['许昌'],['禹州'],,POINT (113.35347176959424 34.20811326763051),113.3534718,34.20811327
115,115,58,临淄,山东省淄博市临淄北,115,山东省淄博市临淄北,1,﻿临淄,Single,[{'county': 370305}],County,[],['山东'],['淄博'],['临淄'],北,POINT (118.34108450023776 36.94218593262121),118.3410845,36.94218593
116,116,58,薄姑,山东省博兴县,116,山东省博兴县,0,,Single,[{'county': 371625}],County,[],['山东'],['滨州'],['博兴'],,POINT (118.23437059021434 37.19468436668652),118.2343706,37.19468437
117,117,59,高唐,山东省高唐县东,117,山东省高唐县东,1,﻿高唐,Single,[{'county': 371526}],County,[],['山东'],['聊城'],['高唐'],东,POINT (116.33754447257712 36.8466299503412),116.3375445,36.84662995
118,118,60,安平,山东省淄博市东北,118,山东省淄博市东北,1,﻿安平,Single,[{'city': 3703}],City,[],['山东'],['淄博'],['NA'],东北,POINT (118.26825979565076 36.84534044816272),118.2682598,36.84534045
119,119,60,酅邑,山东省淄博市东北,119,山东省淄博市东北,0,,Single,[{'city': 3703}],City,[],['山东'],['淄博'],['NA'],东北,POINT (118.26825979565076 36.84534044816272),118.2682598,36.84534045
120,120,61,阿县,今山东省邹城市,120,今山东省邹城市,0,,Single,[{'county': 370883}],County,[],['山东'],['济宁'],['邹城'],,POINT (117.0482043677722 35.34010218903305),117.0482044,35.34010219
121,121,61,甄城,今山东省甄城县北,121,今山东省甄城县北,1,甄,Single,[{'province': 37}],Province,[],['山东'],['NA'],['NA'],北,POINT (117.6629541208103 37.30357282776841),117.6629541,37.30357283
122,122,62,即墨,山东省平度市东南,122,山东省平度市东南,1,﻿即墨,Single,[{'county': 370283}],County,[],['山东'],['青岛'],['平度'],东南,POINT (120.07941971168005 36.63274007390064),120.0794197,36.63274007
123,123,62,阿,山东省阳谷县东北阿城镇,123,山东省阳谷县东北阿城镇,1,阿,Single,[{'county': 371521}],County,[],['山东'],['聊城'],['阳谷'],,POINT (115.89178613584863 36.133166695453625),115.8917861,36.1331667
124,124,63,南武城,山东省平邑县东南故县,124,山东省平邑县东南故县,1,南武城,Single,[{'county': 371326}],County,[],['山东'],['临沂'],['平邑'],,POINT (117.68297262988364 35.44084021918496),117.6829726,35.44084022
125,125,64,薛,今山东省滕州市南,125,今山东省滕州市南,1,﻿薛,Single,[{'county': 370481}],County,[],['山东'],['枣庄'],['滕州'],南,POINT (117.17205515742648 34.95714440098712),117.1720552,34.9571444
126,126,66,蒙,河南省商丘市东北,126,河南省商丘市东北,1,﻿蒙,Single,[{'city': 4114}],City,[],['河南'],['商丘'],['NA'],东北,POINT (115.95829282515405 34.421396421455995),115.9582928,34.42139642
127,127,67,昌城,山东省淄博市东南昌城,127,山东省淄博市东南昌城,1,﻿昌城,Single,[{'city': 3703}],City,[],['山东'],['淄博'],['NA'],,POINT (117.9663173064082 36.61950115673082),117.9663173,36.61950116
128,128,68,聊城,山东省聊城市西北,128,山东省聊城市西北,1,聊城,Single,[{'city': 3715}],City,[],['山东'],['聊城'],['NA'],西北,POINT (115.68673769671018 36.7172137829766),115.6867377,36.71721378
129,129,70,夜邑,山东省莱州市,129,山东省莱州市,0,,Single,[{'county': 370683}],County,[],['山东'],['烟台'],['莱州'],,POINT (120.09701381208772 37.23844134753256),120.0970138,37.23844135
130,130,71,盖大夫,山东省沂源县东南,130,山东省沂源县东南,0,,Single,[{'county': 370323}],County,[],['山东'],['淄博'],['沂源'],东南,POINT (118.332262102245 36.06688060334014),118.3322621,36.0668806
131,131,72,平陆都,山东省汶上县北,131,山东省汶上县北,0,,Single,[{'county': 370830}],County,[],['山东'],['济宁'],['汶上'],北,POINT (116.592959164132 35.83149372436495),116.5929592,35.83149372
132,132,73,平陵县,今山东省济南市历城区境内,132,今山东省济南市历城区境内,1,﻿平陵,Single,[{'county': 370112}],County,[],['山东'],['济南'],['历城'],,POINT (117.26284260196137 36.60358954347619),117.2628426,36.60358954
133,133,75,安阳,山东阳谷东北,133,山东阳谷东北,1,﻿安阳,Single,[{'county': 371521}],County,[],['山东'],['聊城'],['阳谷'],东北,POINT (115.97938892166232 36.21495568836853),115.9793889,36.21495569
134,134,76,阳都,山东省沂水县,134,山东省沂水县,1,﻿阳都,Single,[{'county': 371323}],County,[],['山东'],['临沂'],['沂水'],,POINT (118.50274072351552 35.906359354284675),118.5027407,35.90635935
135,135,76,高密,山东省高密市,135,山东省高密市,0,,Single,[{'county': 370785}],County,[],['山东'],['潍坊'],['高密'],,POINT (119.70108136939798 36.42101449261644),119.7010814,36.42101449
136,136,76,平阿,山东省平阴县,136,山东省平阴县,0,,Single,[{'county': 370124}],County,[],['山东'],['济南'],['平阴'],,POINT (116.36707217836954 36.21076597362565),116.3670722,36.21076597
137,137,76,平陆,山东省平邑县,137,山东省平邑县,0,,Single,[{'county': 371326}],County,[],['山东'],['临沂'],['平邑'],,POINT (117.68297262988364 35.44084021918496),117.6829726,35.44084022
138,138,77,平阳,山西省临汾市西南,138,山西省临汾市西南,1,﻿平阳,Single,[{'city': 1410}],City,[],['山西'],['临汾'],['NA'],西南,POINT (110.95940596277902 35.870585002971154),110.959406,35.870585
139,139,77,阳翟,河南省禹州市,139,河南省禹州市,0,,Single,[{'county': 411081}],County,[],['河南'],['许昌'],['禹州'],,POINT (113.35347176959424 34.20811326763051),113.3534718,34.20811327
140,140,78,杨氏县,今山西省洪洞县东南,140,今山西省洪洞县东南,1,﻿杨氏,Single,[{'county': 141024}],County,[],['山西'],['临汾'],['洪洞'],东南,POINT (111.76632294684724 36.20937614108381),111.7663229,36.20937614
141,141,78,长子,今山西省长子县西南,141,今山西省长子县西南,0,,Single,[{'county': 140428}],County,[],['山西'],['长治'],['长子'],西南,POINT (112.73588058097124 36.03588163416039),112.7358806,36.03588163
